model,weighting,feature_mode,feature_space,num_features,optimal_threshold_mean,optimal_threshold_std,optimal_threshold_formatted,val_illicit_f1_mean,val_illicit_f1_std,val_illicit_f1_formatted,val_pr_auc_mean,val_pr_auc_std,val_pr_auc_formatted,test_illicit_f1_mean,test_illicit_f1_std,test_illicit_f1_formatted,test_pr_auc_mean,test_pr_auc_std,test_pr_auc_formatted,test_illicit_precision_mean,test_illicit_precision_std,test_illicit_precision_formatted,test_illicit_recall_mean,test_illicit_recall_std,test_illicit_recall_formatted,test_macro_f1_mean,test_macro_f1_std,test_macro_f1_formatted,test_roc_auc_mean,test_roc_auc_std,test_roc_auc_formatted,test_mcc_mean,test_mcc_std,test_mcc_formatted,test_accuracy_mean,test_accuracy_std,test_accuracy_formatted
Random Forest,Standard,full,Full Features (165),165,0.526,0.03507135583350036,0.5260 ± 0.0351,0.9489361659215753,0.0023175109483566936,0.9489 ± 0.0023,0.9553022876265012,0.000799673226240251,0.9553 ± 0.0008,0.724697842630903,0.0027300614318658584,0.7247 ± 0.0027,0.6598856267847587,0.0025429424612004614,0.6599 ± 0.0025,0.9585550784696947,0.019793557693952493,0.9586 ± 0.0198,0.5827044025157233,0.00424819373776925,0.5827 ± 0.0042,0.8557525379233736,0.0014957979867904383,0.8558 ± 0.0015,0.8658048829787995,0.008260667308136797,0.8658 ± 0.0083,0.736694932514786,0.005709999755667965,0.7367 ± 0.0057,0.9748211731044348,0.0005002360776358843,0.9748 ± 0.0005
XGBoost,Weighted,full,Full Features (165),165,0.8320000000000001,0.023874672772626643,0.8320 ± 0.0239,0.9416161221877346,0.0007734360978006304,0.9416 ± 0.0008,0.9590853496566574,0.001662062312078999,0.9591 ± 0.0017,0.7196901753723489,0.007369053909163266,0.7197 ± 0.0074,0.6723381483615298,0.003881755937888769,0.6723 ± 0.0039,0.9237745045408795,0.024959049772981936,0.9238 ± 0.0250,0.5896226415094339,0.003515830153301555,0.5896 ± 0.0035,0.8529941225809117,0.00393823758502877,0.8530 ± 0.0039,0.8845431516422082,0.006012027546636298,0.8845 ± 0.0060,0.726398304517452,0.010369076027799717,0.7264 ± 0.0104,0.97387339055794,0.0009659135748073052,0.9739 ± 0.0010
XGBoost,Standard,full,Full Features (165),165,0.6020000000000001,0.07661592523751183,0.6020 ± 0.0766,0.939852994758042,0.005254954308796874,0.9399 ± 0.0053,0.9595003693586877,0.0015190080911668391,0.9595 ± 0.0015,0.7131261314223634,0.011138169077684518,0.7131 ± 0.0111,0.6744303533647353,0.0027720687154967854,0.6744 ± 0.0028,0.912681484793978,0.03663215149586919,0.9127 ± 0.0366,0.5855345911949686,0.006150190948304367,0.5855 ± 0.0062,0.8495329882123739,0.005947459648878085,0.8495 ± 0.0059,0.8929855252896015,0.0032173895554572377,0.8930 ± 0.0032,0.7189223107890753,0.015437319534958123,0.7189 ± 0.0154,0.9731938483547925,0.0014505936903199924,0.9732 ± 0.0015
Random Forest,Weighted,full,Full Features (165),165,0.552,0.019235384061671322,0.5520 ± 0.0192,0.9386131880665708,0.0023008098478335915,0.9386 ± 0.0023,0.9527006454159072,0.001769798638602658,0.9527 ± 0.0018,0.7024306732877273,0.005095459299899578,0.7024 ± 0.0051,0.6617099036575528,0.0020858455732337936,0.6617 ± 0.0021,0.8830024743483765,0.022050245478732994,0.8830 ± 0.0221,0.5833333333333334,0.0029415545493505675,0.5833 ± 0.0029,0.8438389761205987,0.0027586664049999384,0.8438 ± 0.0028,0.8779323422366279,0.003904063673055109,0.8779 ± 0.0039,0.7047153025583273,0.008027548376953781,0.7047 ± 0.0080,0.9718884120171675,0.0007937174900276087,0.9719 ± 0.0008
Random Forest,Standard,local,Local Only (93),93,0.586,0.03361547262794321,0.5860 ± 0.0336,0.9295923840275864,0.001069813412509869,0.9296 ± 0.0011,0.9490570123303087,0.0011084914986630944,0.9491 ± 0.0011,0.693610260718444,0.0032590525991138515,0.6936 ± 0.0033,0.6495182097763443,0.0003449208679345186,0.6495 ± 0.0003,0.902198046403522,0.014027317300840675,0.9022 ± 0.0140,0.5635220125786164,0.008726060959441253,0.5635 ± 0.0087,0.8393852431343228,0.0016425040560964592,0.8394 ± 0.0016,0.8401758329099916,0.003841909426849669,0.8402 ± 0.0038,0.7004149640333945,0.002356642164275667,0.7004 ± 0.0024,0.9716917024320457,0.00023316174553656593,0.9717 ± 0.0002
XGBoost,Weighted,local,Local Only (93),93,0.866,0.04098780306383843,0.8660 ± 0.0410,0.9213271833797002,0.0023758787712044524,0.9213 ± 0.0024,0.9546437630422432,0.001258300556290726,0.9546 ± 0.0013,0.6755821585964406,0.01077881130343914,0.6756 ± 0.0108,0.6570436100453435,0.003998448766037478,0.6570 ± 0.0040,0.8564579611828188,0.06458198374120355,0.8565 ± 0.0646,0.559433962264151,0.012647218586283123,0.5594 ± 0.0126,0.8297627275469471,0.005955675327797372,0.8298 ± 0.0060,0.8744110630528784,0.0018272764118418834,0.8744 ± 0.0018,0.6774159234912785,0.02021449866099104,0.6774 ± 0.0202,0.9694027181688126,0.002123828197465399,0.9694 ± 0.0021
Random Forest,Weighted,local,Local Only (93),93,0.768,0.02280350850198278,0.7680 ± 0.0228,0.9286686639712516,0.0015199283296129242,0.9287 ± 0.0015,0.9493819803918333,0.00026809472438484884,0.9494 ± 0.0003,0.6722819542972803,0.0034640831218336445,0.6723 ± 0.0035,0.6498882650265989,0.001708092969002753,0.6499 ± 0.0017,0.8987507907611787,0.012029359367834174,0.8988 ± 0.0120,0.5371069182389937,0.008437992367923742,0.5371 ± 0.0084,0.8283430332215398,0.0017371804084629382,0.8283 ± 0.0017,0.8519873361190413,0.010111704902733524,0.8520 ± 0.0101,0.68178389044722,0.0018265879291502346,0.6818 ± 0.0018,0.970225321888412,0.00015486863443927242,0.9702 ± 0.0002
XGBoost,Standard,local,Local Only (93),93,0.6659999999999999,0.05128352561983233,0.6660 ± 0.0513,0.9185031701907993,0.002773886583382089,0.9185 ± 0.0028,0.9524165599775639,0.0019498208708287684,0.9524 ± 0.0019,0.6701355226045859,0.010945109936294184,0.6701 ± 0.0109,0.6553863204411122,0.0031069681194506736,0.6554 ± 0.0031,0.8745711900496348,0.03215869612903065,0.8746 ± 0.0322,0.5440251572327044,0.021443681913499785,0.5440 ± 0.0214,0.8270904122178641,0.00559584956062402,0.8271 ± 0.0056,0.8801127162322345,0.0024783478853115507,0.8801 ± 0.0025,0.6757791460551124,0.009298140438546435,0.6758 ± 0.0093,0.9695636623748211,0.0008136132450699076,0.9696 ± 0.0008
MLP,Standard,full,Full Features (165),165,0.20800000000000002,0.15530614926653744,0.2080 ± 0.1553,0.8212396634454626,0.034396552172424266,0.8212 ± 0.0344,0.8445588069808648,0.022315567658619993,0.8446 ± 0.0223,0.5847789828436213,0.019415685188469523,0.5848 ± 0.0194,0.5114546462461627,0.01870398497165145,0.5115 ± 0.0187,0.7630226556207432,0.04296410750975837,0.7630 ± 0.0430,0.47610062893081767,0.033490935126557445,0.4761 ± 0.0335,0.7823297151943605,0.00985569036768165,0.7823 ± 0.0099,0.8510907310813938,0.00627400595296491,0.8511 ± 0.0063,0.5839596521381254,0.015466718555174692,0.5840 ± 0.0155,0.9616237482117309,0.001462941726554998,0.9616 ± 0.0015
MLP,Standard,local,Local Only (93),93,0.376,0.05412947441089744,0.3760 ± 0.0541,0.891197579993108,0.009062002673486674,0.8912 ± 0.0091,0.8913961308711984,0.011476434845634872,0.8914 ± 0.0115,0.5660973810885241,0.018420375360425328,0.5661 ± 0.0184,0.408219940408472,0.05843477768348801,0.4082 ± 0.0584,0.5816218806393068,0.017969642284450905,0.5816 ± 0.0180,0.5515723270440251,0.022051851758399955,0.5516 ± 0.0221,0.7703267163316218,0.009684802888101337,0.7703 ± 0.0097,0.8452802164647745,0.008978962701246209,0.8453 ± 0.0090,0.540944153113028,0.019302895281180815,0.5409 ± 0.0193,0.9519313304721031,0.0019131134974666177,0.9519 ± 0.0019
MLP,Weighted,full,Full Features (165),165,0.522,0.1425482374496437,0.5220 ± 0.1425,0.8253835612113944,0.013502888318763695,0.8254 ± 0.0135,0.8431866702302283,0.012727979500344622,0.8432 ± 0.0127,0.5513317242165748,0.036209556855732,0.5513 ± 0.0362,0.4840407771975025,0.04247397170573649,0.4840 ± 0.0425,0.7232300269846474,0.052412010684399435,0.7232 ± 0.0524,0.4455974842767295,0.028662103174397557,0.4456 ± 0.0287,0.7648549222304695,0.019010106555610088,0.7649 ± 0.0190,0.8493619315593526,0.0067805313101166635,0.8494 ± 0.0068,0.548205170546206,0.0397299559391804,0.5482 ± 0.0397,0.9587446351931332,0.003481732561562731,0.9587 ± 0.0035
MLP,Weighted,local,Local Only (93),93,0.74,0.10173494974687901,0.7400 ± 0.1017,0.8791303684837185,0.017597909772757898,0.8791 ± 0.0176,0.860034621773619,0.02794495689261715,0.8600 ± 0.0279,0.522403260752134,0.04592425733432968,0.5224 ± 0.0459,0.3166011415077364,0.054172055724858205,0.3166 ± 0.0542,0.5163587166286302,0.10140871841916858,0.5164 ± 0.1014,0.5386792452830189,0.02105392294499435,0.5387 ± 0.0211,0.7460865325783663,0.025902584590984344,0.7461 ± 0.0259,0.8409693601934732,0.008174674722660383,0.8410 ± 0.0082,0.4952085212925391,0.05177163148028711,0.4952 ± 0.0518,0.9431688125894135,0.010943490093184027,0.9432 ± 0.0109
Logistic Regression,Standard,local,Local Only (93),93,0.54,0.0,0.5400 ± 0.0000,0.6788830715532286,0.0,0.6789 ± 0.0000,0.39352440692932295,0.0,0.3935 ± 0.0000,0.43784111582777446,6.206335383118183e-17,0.4378 ± 0.0000,0.21395562257502432,0.0,0.2140 ± 0.0000,0.35636722606120436,0.0,0.3564 ± 0.0000,0.5676100628930818,0.0,0.5676 ± 0.0000,0.6965497871237911,0.0,0.6965 ± 0.0000,0.8208903652187185,1.2412670766236366e-16,0.8209 ± 0.0000,0.40813482973904697,0.0,0.4081 ± 0.0000,0.9171137339055793,1.2412670766236366e-16,0.9171 ± 0.0000
Logistic Regression,Weighted,local,Local Only (93),93,0.8699999999999999,1.2412670766236366e-16,0.8700 ± 0.0000,0.6325060048038431,0.0,0.6325 ± 0.0000,0.3539562376934462,0.0,0.3540 ± 0.0000,0.4067796610169491,6.206335383118183e-17,0.4068 ± 0.0000,0.19823582253954922,0.0,0.1982 ± 0.0000,0.31181894383906117,0.0,0.3118 ± 0.0000,0.5849056603773585,0.0,0.5849 ± 0.0000,0.6769766653105584,0.0,0.6770 ± 0.0000,0.8271492643393603,0.0,0.8271 ± 0.0000,0.3804150501073531,0.0,0.3804 ± 0.0000,0.9029864091559372,1.2412670766236366e-16,0.9030 ± 0.0000
Logistic Regression,Standard,full,Full Features (165),165,0.77,0.0,0.7700 ± 0.0000,0.5921192758253461,0.0,0.5921 ± 0.0000,0.48259071864806324,0.0,0.4826 ± 0.0000,0.4014925373134329,6.206335383118183e-17,0.4015 ± 0.0000,0.2754407143127624,0.0,0.2754 ± 0.0000,0.3821022727272727,0.0,0.3821 ± 0.0000,0.42295597484276726,6.206335383118183e-17,0.4230 ± 0.0000,0.6816764569770513,0.0,0.6817 ± 0.0000,0.860377865308157,1.2412670766236366e-16,0.8604 ± 0.0000,0.36398788709758695,0.0,0.3640 ± 0.0000,0.9282904148783977,0.0,0.9283 ± 0.0000
Logistic Regression,Weighted,full,Full Features (165),165,0.93,0.0,0.9300 ± 0.0000,0.5526552655265526,0.0,0.5527 ± 0.0000,0.4365806725556444,6.206335383118183e-17,0.4366 ± 0.0000,0.34801762114537443,0.0,0.3480 ± 0.0000,0.21974381943007787,3.1031676915590914e-17,0.2197 ± 0.0000,0.2677966101694915,0.0,0.2678 ± 0.0000,0.4968553459119497,0.0,0.4969 ± 0.0000,0.6452038280892306,0.0,0.6452 ± 0.0000,0.85387196714391,0.0,0.8539 ± 0.0000,0.312806197778444,0.0,0.3128 ± 0.0000,0.894134477825465,0.0,0.8941 ± 0.0000
