feature_1,feature_2,feature_1_type,feature_2_type,abs_pearson_corr
local_feat_23,local_feat_29,Local,Local,0.9999999961415654
local_feat_22,local_feat_28,Local,Local,0.9999997847968293
local_feat_58,local_feat_64,Local,Local,0.9999997551336692
local_feat_24,local_feat_30,Local,Local,0.9999996309902341
local_feat_60,local_feat_66,Local,Local,0.9999996214096836
local_feat_59,local_feat_65,Local,Local,0.9999995951772895
local_feat_21,local_feat_27,Local,Local,0.9999994896182645
local_feat_57,local_feat_63,Local,Local,0.9999939258467392
local_feat_25,local_feat_31,Local,Local,0.9997104636096312
local_feat_26,local_feat_32,Local,Local,0.9996734469180227
agg_feat_58,agg_feat_59,Aggregated,Aggregated,0.9994152731848476
agg_feat_7,agg_feat_9,Aggregated,Aggregated,0.9991472109537841
local_feat_7,local_feat_10,Local,Local,0.9991084724115422
local_feat_33,local_feat_36,Local,Local,0.9989604831208868
agg_feat_64,agg_feat_65,Aggregated,Aggregated,0.9973048021149618
local_feat_91,local_feat_92,Local,Local,0.9969905551120768
agg_feat_52,agg_feat_53,Aggregated,Aggregated,0.996970201447471
local_feat_73,local_feat_74,Local,Local,0.9969612220440496
agg_feat_22,agg_feat_23,Aggregated,Aggregated,0.9967317051418912
local_feat_85,local_feat_86,Local,Local,0.9965454523747161
local_feat_79,local_feat_80,Local,Local,0.9965336317642463
agg_feat_70,agg_feat_71,Aggregated,Aggregated,0.9962643229818675
agg_feat_40,agg_feat_41,Aggregated,Aggregated,0.9962204040730344
local_feat_0,local_feat_16,Local,Local,0.9958318695607526
agg_feat_46,agg_feat_47,Aggregated,Aggregated,0.9958113054214496
local_feat_8,local_feat_10,Local,Local,0.995799609608999
local_feat_67,local_feat_68,Local,Local,0.995434156285386
local_feat_61,local_feat_62,Local,Local,0.9954115430138147
local_feat_8,local_feat_16,Local,Local,0.9952478677676074
agg_feat_6,agg_feat_9,Aggregated,Aggregated,0.9947741409273478
local_feat_19,local_feat_20,Local,Local,0.994367887168483
local_feat_45,local_feat_48,Local,Local,0.9943642300765906
local_feat_61,local_feat_67,Local,Local,0.9940458931500112
local_feat_46,local_feat_48,Local,Local,0.9940181854060728
local_feat_62,local_feat_68,Local,Local,0.9940152237258291
local_feat_37,local_feat_38,Local,Local,0.9937697063874478
local_feat_39,local_feat_45,Local,Local,0.9933475068144622
local_feat_7,local_feat_8,Local,Local,0.9925712413761294
local_feat_71,local_feat_72,Local,Local,0.9925396362370161
local_feat_0,local_feat_8,Local,Local,0.9924279424272424
agg_feat_28,agg_feat_29,Aggregated,Aggregated,0.991478967993536
agg_feat_6,agg_feat_7,Aggregated,Aggregated,0.9907550174805827
local_feat_10,local_feat_16,Local,Local,0.9897666381314131
local_feat_62,local_feat_67,Local,Local,0.9895094053963279
local_feat_61,local_feat_68,Local,Local,0.9894656836262864
agg_feat_10,agg_feat_11,Aggregated,Aggregated,0.9890100847776107
local_feat_82,local_feat_83,Local,Local,0.9883490528835117
local_feat_39,local_feat_48,Local,Local,0.9870582365808798
local_feat_76,local_feat_77,Local,Local,0.9866809505566109
local_feat_7,local_feat_16,Local,Local,0.9865605780541377
local_feat_40,local_feat_42,Local,Local,0.9864512138397676
local_feat_34,local_feat_36,Local,Local,0.9863395127037639
local_feat_42,local_feat_48,Local,Local,0.9861528131607729
agg_feat_34,agg_feat_35,Aggregated,Aggregated,0.9859998056489349
local_feat_0,local_feat_10,Local,Local,0.9855759863793581
local_feat_4,local_feat_13,Local,Local,0.9851090593783897
local_feat_42,local_feat_46,Local,Local,0.9846986475779554
local_feat_55,local_feat_56,Local,Local,0.9843333675765993
local_feat_43,local_feat_44,Local,Local,0.9830659590326953
local_feat_49,local_feat_50,Local,Local,0.9830506849038305
local_feat_83,local_feat_84,Local,Local,0.9828821935994697
local_feat_33,local_feat_34,Local,Local,0.9825554258925364
local_feat_17,local_feat_18,Local,Local,0.9819682304497009
local_feat_0,local_feat_7,Local,Local,0.9814401315756232
local_feat_82,local_feat_84,Local,Local,0.9811636885019678
agg_feat_16,agg_feat_17,Aggregated,Aggregated,0.9806766871898295
local_feat_76,local_feat_78,Local,Local,0.9800113245624319
local_feat_39,local_feat_42,Local,Local,0.9785587194733004
local_feat_45,local_feat_46,Local,Local,0.9783430095832737
agg_feat_42,agg_feat_45,Aggregated,Aggregated,0.977858225883134
local_feat_11,local_feat_12,Local,Local,0.9768021698344498
local_feat_31,local_feat_32,Local,Local,0.9763872849027968
local_feat_25,local_feat_26,Local,Local,0.9763647148853158
agg_feat_0,agg_feat_3,Aggregated,Aggregated,0.9761727015847238
local_feat_25,local_feat_32,Local,Local,0.9761047914114995
local_feat_26,local_feat_31,Local,Local,0.976071554587005
agg_feat_4,agg_feat_5,Aggregated,Aggregated,0.975735832344985
local_feat_40,local_feat_46,Local,Local,0.9753224204167796
local_feat_42,local_feat_45,Local,Local,0.9751490369901985
local_feat_70,local_feat_71,Local,Local,0.9744275975955231
local_feat_77,local_feat_78,Local,Local,0.9735212744053097
local_feat_39,local_feat_46,Local,Local,0.9705172263425722
local_feat_16,local_feat_17,Local,Local,0.9657692367446667
local_feat_59,local_feat_64,Local,Local,0.9648368628080813
local_feat_64,local_feat_65,Local,Local,0.964831364337736
local_feat_58,local_feat_59,Local,Local,0.9647967387120481
local_feat_58,local_feat_65,Local,Local,0.9647907814733244
local_feat_43,local_feat_49,Local,Local,0.9643745510180953
local_feat_44,local_feat_50,Local,Local,0.9640122117472977
local_feat_40,local_feat_48,Local,Local,0.9615300355619987
local_feat_3,local_feat_5,Local,Local,0.9596717596100428
local_feat_8,local_feat_17,Local,Local,0.9595994452231649
agg_feat_12,agg_feat_15,Aggregated,Aggregated,0.9593565749517081
local_feat_10,local_feat_17,Local,Local,0.9577673901581747
local_feat_70,local_feat_72,Local,Local,0.956470190968389
local_feat_7,local_feat_17,Local,Local,0.9561117289674906
local_feat_0,local_feat_17,Local,Local,0.9546193903776765
local_feat_51,local_feat_54,Local,Local,0.9540722477891216
local_feat_64,local_feat_66,Local,Local,0.9517857242338227
local_feat_60,local_feat_64,Local,Local,0.951785424342119
local_feat_58,local_feat_60,Local,Local,0.9517332624586667
local_feat_58,local_feat_66,Local,Local,0.9517331169922634
agg_feat_19,agg_feat_21,Aggregated,Aggregated,0.9515961015443947
