,feature_type,count,mean,std,variance,min,25%,median,75%,max,iqr,skewness
local_feat_0,Local,203769.0,-1.497655555127153e-09,1.000002384185791,1.0000049,-0.17298263311386108,-0.17253166437149048,-0.1692045,-0.13185527920722961,71.68196868896484,0.040676385164260864,26.781532
local_feat_1,Local,203769.0,-1.497655555127153e-09,1.000002384185791,1.0000049,-0.21055257320404053,-0.18032662570476532,-0.1328975,-0.05524241179227829,73.59505462646484,0.12508421391248703,21.477146
local_feat_2,Local,203769.0,5.271747838264673e-08,1.000002384185791,1.0000049,-1.756361484527588,-1.201368808746338,0.46360922,1.018601894378662,2.683579921722412,2.219970703125,-0.06416904
local_feat_3,Local,203769.0,3.5943734655319304e-09,1.000002384185791,1.0000049,-0.12196960300207138,-0.12196960300207138,-0.1219696,-0.12196960300207138,49.0275993347168,0.0,24.874111
local_feat_4,Local,203769.0,-4.867380720696701e-09,1.000002384185791,1.0000049,-0.0637245699763298,-0.04387454688549042,-0.043874547,-0.04387454688549042,260.0906982421875,0.0,122.45725
local_feat_5,Local,203769.0,-6.776891492421555e-09,1.000002384185791,1.0000049,-0.11300200968980789,-0.11300200968980789,-0.11300201,-0.11300200968980789,54.56517791748047,0.0,27.156023
local_feat_6,Local,203769.0,-5.990622220508612e-09,1.000002384185791,1.0000049,-0.06158379465341568,-0.06158379465341568,-0.061583795,-0.06158379465341568,113.44087219238281,0.0,55.04296
local_feat_7,Local,203769.0,5.990622442553217e-10,1.000002384185791,1.0000049,-0.16364584863185883,-0.1635167896747589,-0.16204399,-0.13559316098690033,73.35456848144531,0.02792362868785858,28.037092
local_feat_8,Local,203769.0,0.0,1.000002384185791,1.0000049,-0.16946028172969818,-0.16907009482383728,-0.16622551,-0.13236649334430695,72.31839752197266,0.036703601479530334,27.27273
local_feat_9,Local,203769.0,2.7332214269648603e-09,1.000002384185791,1.0000049,-0.04970696568489075,-0.04970696568489075,-0.049706966,-0.04970696568489075,189.18695068359375,0.0,71.87592
local_feat_10,Local,203769.0,-1.7971867327659652e-09,1.000002384185791,1.0000049,-0.16594941914081573,-0.16562718152999878,-0.16334489,-0.13400711119174957,73.27021789550781,0.03162007033824921,27.948536
local_feat_11,Local,203769.0,-2.448666869270255e-08,1.000002384185791,1.0000049,-2.516704797744751,-0.02874128520488739,-0.028741285,-0.02874128520488739,2.4592220783233643,0.0,0.020135602
local_feat_12,Local,203769.0,1.2056127651760562e-08,1.000002384185791,1.0000049,-2.4861059188842773,-0.03539055213332176,-0.035390552,-0.03539055213332176,2.4153249263763428,0.0,0.06482983
local_feat_13,Local,203769.0,7.301070859000447e-10,1.000002384185791,1.0000049,-0.0631999522447586,-0.042955297976732254,-0.042955298,-0.042955297976732254,265.26324462890625,0.0,129.0673
local_feat_14,Local,203769.0,-5.241794776011943e-10,1.000002384185791,1.0000049,-0.013281614519655704,-0.013281614519655704,-0.0132816145,-0.013281614519655704,119.47757720947266,0.0,96.33874
local_feat_15,Local,203769.0,1.4976556106383043e-10,1.000002384185791,1.0000049,-0.05740121006965637,-0.05715562030673027,-0.056036778,-0.04828318580985069,183.25746154785156,0.008872434496879578,86.930336
