run_id,model,feature_mode,feature_space,num_features,direction,unknown_treatment,seed,best_epoch,epochs_trained,optimal_threshold,training_time_sec,inference_time_sec,val_illicit_f1,val_pr_auc,val_illicit_precision,val_illicit_recall,val_roc_auc,val_loss,test_illicit_f1,test_pr_auc,test_illicit_precision,test_illicit_recall,test_macro_f1,test_roc_auc,test_mcc,test_accuracy,test_tp,test_fp,test_tn,test_fn
1,GCN,local,Local Only (93),93,forward,retained,42,3,23,0.49,201.60591411590576,0.5948460102081299,0.3833634719710669,0.3049525868958208,0.3216995447647951,0.4742729306487696,0.8290253250596133,0.954624354839325,0.20710355177588793,0.11371441469531425,0.15187087307410124,0.32547169811320753,0.5646446130424435,0.7187009579448724,0.15282525847654066,0.8582796852646638,207,1156,9392,429
2,GCN,local,Local Only (93),93,forward,retained,123,58,78,0.83,598.7790219783783,2.459320306777954,0.5127681307456589,0.47118507472063814,0.4718045112781955,0.5615212527964206,0.8623284244192836,0.9918231964111328,0.296028880866426,0.28493012890105235,0.23976608187134502,0.3867924528301887,0.6197617600507151,0.7855304472158422,0.25099481710096816,0.8953862660944206,246,780,9768,390
3,GCN,local,Local Only (93),93,forward,retained,456,6,26,0.5,181.89286875724792,0.6859943866729736,0.38280616382806165,0.413682818615639,0.30025445292620867,0.5279642058165548,0.8486865092102629,1.1337370872497559,0.26220095693779905,0.1959062764425627,0.18844566712517194,0.4308176100628931,0.5930789773346654,0.7516780879501435,0.21963166893844152,0.8621244635193133,274,1180,9368,362
4,GCN,local,Local Only (93),93,forward,retained,789,66,86,0.85,690.8536360263824,0.5405869483947754,0.532043530834341,0.49248934791059323,0.5789473684210527,0.49217002237136465,0.8821687481936199,1.4728033542633057,0.3410620792819746,0.3261647972673157,0.3252496433666191,0.3584905660377358,0.6495857683747612,0.7794827717794426,0.29967758385051074,0.9212267525035766,228,473,10075,408
5,GCN,local,Local Only (93),93,forward,retained,999,6,26,0.5,94.58244347572327,0.5737094879150391,0.3268032056990205,0.28029561181862817,0.20400222345747637,0.8210290827740492,0.8346943061125459,1.206526279449463,0.17285504510174113,0.14519647051793783,0.09973372064875333,0.6477987421383647,0.47441684133957573,0.7121806005728828,0.14165924886393588,0.6474427753934192,412,3719,6829,224
6,GraphSAGE,local,Local Only (93),93,forward,retained,42,100,100,0.88,427.89811968803406,1.8831970691680908,0.8456221198156681,0.7966641339154568,0.8717339667458432,0.8210290827740492,0.9684811934472634,0.3849840462207794,0.6252285191956124,0.5703759884319113,0.7467248908296943,0.5377358490566038,0.8029780839843814,0.8281083420982964,0.6155410892113367,0.9633404864091559,342,116,10432,294
7,GraphSAGE,local,Local Only (93),93,forward,retained,123,8,28,0.52,171.57073616981506,0.5326652526855469,0.4664391353811149,0.4048343519953595,0.47453703703703703,0.45861297539149887,0.8566290318069394,1.0968226194381714,0.29132791327913277,0.18200812650067366,0.25595238095238093,0.3380503144654088,0.6206304509914714,0.7775225056823195,0.24497310147428897,0.9064735336194564,215,625,9923,421
8,GraphSAGE,local,Local Only (93),93,forward,retained,456,6,26,0.5,174.6562476158142,2.014983892440796,0.43990384615384615,0.48020158818332004,0.30073952341824156,0.8187919463087249,0.8842640380424189,1.2480220794677734,0.27753934191702434,0.3252873314888997,0.17962962962962964,0.610062893081761,0.5871653382382996,0.7994964767233587,0.2593446073207246,0.8193848354792561,388,1772,8776,248
9,GraphSAGE,local,Local Only (93),93,forward,retained,789,99,100,0.89,523.9824731349945,0.794489860534668,0.8619447779111644,0.8585416272870691,0.9300518134715026,0.8031319910514542,0.9669677189066224,0.39680933952331543,0.6239234449760765,0.5501473449862986,0.7970660146699267,0.5125786163522013,0.8027463212780772,0.8194578602042057,0.6227089173073913,0.9648605150214592,326,83,10465,310
10,GraphSAGE,local,Local Only (93),93,forward,retained,999,6,26,0.51,120.77733492851257,0.6975765228271484,0.4159613059250302,0.4059304135317292,0.45263157894736844,0.38478747203579416,0.8638643191606589,1.4099177122116089,0.25833924769339955,0.2016972705692195,0.23544631306597671,0.2861635220125786,0.6042399993417138,0.7770974496938821,0.21011561396712516,0.906562947067239,182,591,9957,454
