Experiment_ID,Phase,Model_Family,Model,Feature_Space,Feature_Count,Weighting,Graph_Context,Graph_Direction,Depth,Seed,Train_Timesteps,Val_Timesteps,Test_Timesteps,Validation_F1,Validation_PR_AUC,Test_F1,Test_PR_AUC,Test_Precision,Test_Recall,Test_MCC,Status,Recommended_Paper_Section,Notes
EXP_001,Phase 2 (Baselines),Linear Model,Logistic Regression,Local Only (93),93,Standard,None (Tabular),None (Tabular),N/A,42,1–34,35–39,40–49,0.6789,0.3935,0.4378,0.214,0.3564,0.5676,0.4081,ABLATION,Section 5 (Feature Space Analysis),Conventional baseline run (Seed 42)
EXP_002,Phase 2 (Baselines),Linear Model,Logistic Regression,Local Only (93),93,Standard,None (Tabular),None (Tabular),N/A,123,1–34,35–39,40–49,0.6789,0.3935,0.4378,0.214,0.3564,0.5676,0.4081,ABLATION,Section 5 (Feature Space Analysis),Conventional baseline run (Seed 123)
EXP_003,Phase 2 (Baselines),Linear Model,Logistic Regression,Local Only (93),93,Standard,None (Tabular),None (Tabular),N/A,456,1–34,35–39,40–49,0.6789,0.3935,0.4378,0.214,0.3564,0.5676,0.4081,ABLATION,Section 5 (Feature Space Analysis),Conventional baseline run (Seed 456)
EXP_004,Phase 2 (Baselines),Linear Model,Logistic Regression,Local Only (93),93,Standard,None (Tabular),None (Tabular),N/A,789,1–34,35–39,40–49,0.6789,0.3935,0.4378,0.214,0.3564,0.5676,0.4081,ABLATION,Section 5 (Feature Space Analysis),Conventional baseline run (Seed 789)
EXP_005,Phase 2 (Baselines),Linear Model,Logistic Regression,Local Only (93),93,Standard,None (Tabular),None (Tabular),N/A,999,1–34,35–39,40–49,0.6789,0.3935,0.4378,0.214,0.3564,0.5676,0.4081,ABLATION,Section 5 (Feature Space Analysis),Conventional baseline run (Seed 999)
EXP_006,Phase 2 (Baselines),Linear Model,Logistic Regression,Local Only (93),93,Weighted,None (Tabular),None (Tabular),N/A,42,1–34,35–39,40–49,0.6325,0.354,0.4068,0.1982,0.3118,0.5849,0.3804,ABLATION,Section 5 (Feature Space Analysis),Conventional baseline run (Seed 42)
EXP_007,Phase 2 (Baselines),Linear Model,Logistic Regression,Local Only (93),93,Weighted,None (Tabular),None (Tabular),N/A,123,1–34,35–39,40–49,0.6325,0.354,0.4068,0.1982,0.3118,0.5849,0.3804,ABLATION,Section 5 (Feature Space Analysis),Conventional baseline run (Seed 123)
EXP_008,Phase 2 (Baselines),Linear Model,Logistic Regression,Local Only (93),93,Weighted,None (Tabular),None (Tabular),N/A,456,1–34,35–39,40–49,0.6325,0.354,0.4068,0.1982,0.3118,0.5849,0.3804,ABLATION,Section 5 (Feature Space Analysis),Conventional baseline run (Seed 456)
EXP_009,Phase 2 (Baselines),Linear Model,Logistic Regression,Local Only (93),93,Weighted,None (Tabular),None (Tabular),N/A,789,1–34,35–39,40–49,0.6325,0.354,0.4068,0.1982,0.3118,0.5849,0.3804,ABLATION,Section 5 (Feature Space Analysis),Conventional baseline run (Seed 789)
EXP_010,Phase 2 (Baselines),Linear Model,Logistic Regression,Local Only (93),93,Weighted,None (Tabular),None (Tabular),N/A,999,1–34,35–39,40–49,0.6325,0.354,0.4068,0.1982,0.3118,0.5849,0.3804,ABLATION,Section 5 (Feature Space Analysis),Conventional baseline run (Seed 999)
