Model,Feature Space,Feature Count,Validation F1,Validation PR-AUC,Test F1,Test PR-AUC,Test MCC,Δ F1 (Full - Local),Δ PR-AUC (Full - Local),Δ MCC (Full - Local)
Random Forest,Local Only,93,0.9296 ± 0.0011,0.9491 ± 0.0011,0.6936 ± 0.0033,0.6495 ± 0.0003,0.7004 ± 0.0024,+0.0311,+0.0104,+0.0363
Random Forest,Full Features,165,0.9489 ± 0.0023,0.9553 ± 0.0008,0.7247 ± 0.0027,0.6599 ± 0.0025,0.7367 ± 0.0057,+0.0311,+0.0104,+0.0363
XGBoost,Local Only,93,0.9185 ± 0.0028,0.9524 ± 0.0019,0.6701 ± 0.0109,0.6554 ± 0.0031,0.6758 ± 0.0093,+0.0430,+0.0190,+0.0431
XGBoost,Full Features,165,0.9399 ± 0.0053,0.9595 ± 0.0015,0.7131 ± 0.0111,0.6744 ± 0.0028,0.7189 ± 0.0154,+0.0430,+0.0190,+0.0431
MLP,Local Only,93,0.8912 ± 0.0091,0.8914 ± 0.0115,0.5661 ± 0.0184,0.4082 ± 0.0584,0.5409 ± 0.0193,+0.0187,+0.1032,+0.0430
MLP,Full Features,165,0.8212 ± 0.0344,0.8446 ± 0.0223,0.5848 ± 0.0194,0.5115 ± 0.0187,0.5840 ± 0.0155,+0.0187,+0.1032,+0.0430
Logistic Regression,Local Only,93,0.6789 ± 0.0000,0.3935 ± 0.0000,0.4378 ± 0.0000,0.2140 ± 0.0000,0.4081 ± 0.0000,-0.0363,+0.0615,-0.0441
Logistic Regression,Full Features,165,0.5921 ± 0.0000,0.4826 ± 0.0000,0.4015 ± 0.0000,0.2754 ± 0.0000,0.3640 ± 0.0000,-0.0363,+0.0615,-0.0441
GAT,Local Only,93,0.3797 ± 0.0457,0.2741 ± 0.1011,0.2367 ± 0.0586,0.1653 ± 0.0747,0.1959 ± 0.0721,+0.0942,+0.1014,+0.0940
GAT,Full Features,165,0.6006 ± 0.0982,0.5939 ± 0.1191,0.3308 ± 0.0602,0.2667 ± 0.0695,0.2899 ± 0.0640,+0.0942,+0.1014,+0.0940
GraphSAGE,Local Only,93,0.6060 ± 0.2270,0.5892 ± 0.2208,0.4153 ± 0.1914,0.3659 ± 0.1859,0.3905 ± 0.2095,-0.1331,-0.1293,-0.1514
GraphSAGE,Full Features,165,0.4473 ± 0.1590,0.4106 ± 0.1738,0.2822 ± 0.1248,0.2366 ± 0.1386,0.2391 ± 0.1394,-0.1331,-0.1293,-0.1514
GCN,Local Only,93,0.4276 ± 0.0898,0.3925 ± 0.0960,0.2559 ± 0.0674,0.2132 ± 0.0905,0.2130 ± 0.0665,+0.0030,+0.0070,+0.0084
GCN,Full Features,165,0.4293 ± 0.0923,0.4056 ± 0.1386,0.2589 ± 0.0639,0.2202 ± 0.0703,0.2213 ± 0.0766,+0.0030,+0.0070,+0.0084
