Ablation,Model,Setting,Test F1 Formatted,Test PR-AUC Formatted,Test Precision Formatted,Test Recall Formatted,Test MCC Formatted,Test F1 Mean,Test F1 Std,Test PR-AUC Mean,Test PR-AUC Std,Interpretation
Unknown-Node Context,GAT,Removed (Labeled Only),0.2918 ± 0.0521,0.2316 ± 0.0727,0.2038 ± 0.0653,0.5736 ± 0.0698,0.2679 ± 0.0430,0.2918,0.0521,0.2316,0.0727,Unweighted aggregation over ~77% unknown nodes dilutes illicit minority signal
Unknown-Node Context,GAT,Retained (100% Graph),0.3308 ± 0.0602,0.2667 ± 0.0695,0.2680 ± 0.0632,0.4412 ± 0.0281,0.2899 ± 0.0640,0.3308,0.0602,0.2667,0.0695,Attention mechanism adaptively downweights uninformative unknown neighbors
Unknown-Node Context,GCN,Removed (Labeled Only),0.4555 ± 0.0524,0.3997 ± 0.0788,0.5576 ± 0.1280,0.3934 ± 0.0301,0.4381 ± 0.0653,0.4555,0.0524,0.3997,0.0788,Unweighted aggregation over ~77% unknown nodes dilutes illicit minority signal
Unknown-Node Context,GCN,Retained (100% Graph),0.2589 ± 0.0639,0.2202 ± 0.0703,0.2788 ± 0.1255,0.2884 ± 0.0839,0.2213 ± 0.0766,0.2589,0.0639,0.2202,0.0703,Standard baseline message passing over full graph topology
Unknown-Node Context,GraphSAGE,Removed (Labeled Only),0.4132 ± 0.0514,0.3326 ± 0.0529,0.4321 ± 0.1439,0.4261 ± 0.0590,0.3849 ± 0.0630,0.4132,0.0514,0.3326,0.0529,Unweighted aggregation over ~77% unknown nodes dilutes illicit minority signal
Unknown-Node Context,GraphSAGE,Retained (100% Graph),0.2822 ± 0.1248,0.2366 ± 0.1386,0.2695 ± 0.1858,0.3588 ± 0.0756,0.2391 ± 0.1394,0.2822,0.1248,0.2366,0.1386,Standard baseline message passing over full graph topology
Graph Direction,GAT,Backward (v -> u),0.3938 ± 0.0706,0.4007 ± 0.0388,0.3494 ± 0.1083,0.4843 ± 0.0475,0.3606 ± 0.0703,0.3938,0.0706,0.4007,0.0388,Retrospective analysis aggregating upstream transaction sources
Graph Direction,GAT,Bidirectional (u <-> v),0.4618 ± 0.0234,0.4629 ± 0.0252,0.4706 ± 0.0815,0.4654 ± 0.0433,0.4324 ± 0.0287,0.4618,0.0234,0.4629,0.0252,Exploratory setting allowing bidirectional message propagation
Graph Direction,GAT,Forward (u -> v),0.3308 ± 0.0602,0.2667 ± 0.0695,0.2680 ± 0.0632,0.4412 ± 0.0281,0.2899 ± 0.0640,0.3308,0.0602,0.2667,0.0695,Primary inductive setting preserving causal payment flow (inputs -> outputs)
Graph Direction,GCN,Backward (v -> u),0.3953 ± 0.0462,0.3649 ± 0.0398,0.4734 ± 0.1714,0.3711 ± 0.0515,0.3752 ± 0.0657,0.3953,0.0462,0.3649,0.0398,Retrospective analysis aggregating upstream transaction sources
Graph Direction,GCN,Bidirectional (u <-> v),0.3142 ± 0.0571,0.2707 ± 0.0522,0.3498 ± 0.0686,0.3107 ± 0.0966,0.2836 ± 0.0447,0.3142,0.0571,0.2707,0.0522,Exploratory setting allowing bidirectional message propagation
Graph Direction,GCN,Forward (u -> v),0.2589 ± 0.0639,0.2202 ± 0.0703,0.2788 ± 0.1255,0.2884 ± 0.0839,0.2213 ± 0.0766,0.2589,0.0639,0.2202,0.0703,Primary inductive setting preserving causal payment flow (inputs -> outputs)
