Model,Phase,Seed,Validation F1,Validation PR-AUC,Test F1,Test PR-AUC,Test MCC,Test F1 Mean,Test F1 Std,Test F1 Min,Test F1 Max,Test F1 Range,Test PR-AUC Mean,Test PR-AUC Std,Test PR-AUC Range
Random Forest (Full 165),Phase 2,42,0.952,0.9551,0.726,0.6595,0.7383,0.7247,0.0024,0.7209,0.7271,0.0062,0.6599,0.0023,0.0072
Random Forest (Full 165),Phase 2,123,0.9503,0.9548,0.7227,0.6597,0.7313,0.7247,0.0024,0.7209,0.7271,0.0062,0.6599,0.0023,0.0072
Random Forest (Full 165),Phase 2,456,0.9461,0.9562,0.7267,0.6636,0.7425,0.7247,0.0024,0.7209,0.7271,0.0062,0.6599,0.0023,0.0072
Random Forest (Full 165),Phase 2,789,0.9487,0.956,0.7209,0.6564,0.7301,0.7247,0.0024,0.7209,0.7271,0.0062,0.6599,0.0023,0.0072
Random Forest (Full 165),Phase 2,999,0.9475,0.9544,0.7271,0.6602,0.7414,0.7247,0.0024,0.7209,0.7271,0.0062,0.6599,0.0023,0.0072
XGBoost (Full 165),Phase 2,42,0.9369,0.9579,0.6984,0.6736,0.7014,0.7131,0.01,0.6984,0.7223,0.0239,0.6744,0.0025,0.0067
XGBoost (Full 165),Phase 2,123,0.9438,0.9594,0.7209,0.6723,0.7301,0.7131,0.01,0.6984,0.7223,0.0239,0.6744,0.0025,0.0067
XGBoost (Full 165),Phase 2,456,0.933,0.9582,0.7039,0.672,0.7028,0.7131,0.01,0.6984,0.7223,0.0239,0.6744,0.0025,0.0067
XGBoost (Full 165),Phase 2,789,0.9394,0.9614,0.7201,0.6757,0.7282,0.7131,0.01,0.6984,0.7223,0.0239,0.6744,0.0025,0.0067
XGBoost (Full 165),Phase 2,999,0.9461,0.9606,0.7223,0.6786,0.7321,0.7131,0.01,0.6984,0.7223,0.0239,0.6744,0.0025,0.0067
MLP (Full 165),Phase 2,42,0.8528,0.8634,0.5989,0.5093,0.5944,0.5848,0.0174,0.552,0.5989,0.0469,0.5115,0.0167,0.052
MLP (Full 165),Phase 2,123,0.8377,0.8492,0.5912,0.5065,0.579,0.5848,0.0174,0.552,0.5989,0.0469,0.5115,0.0167,0.052
MLP (Full 165),Phase 2,456,0.8254,0.8303,0.5832,0.5131,0.5787,0.5848,0.0174,0.552,0.5989,0.0469,0.5115,0.0167,0.052
MLP (Full 165),Phase 2,789,0.7629,0.8138,0.552,0.4882,0.5639,0.5848,0.0174,0.552,0.5989,0.0469,0.5115,0.0167,0.052
MLP (Full 165),Phase 2,999,0.8274,0.8661,0.5986,0.5402,0.6038,0.5848,0.0174,0.552,0.5989,0.0469,0.5115,0.0167,0.052
Logistic Regression (Full 165),Phase 2,42,0.5921,0.4826,0.4015,0.2754,0.364,0.4015,0.0,0.4015,0.4015,0.0,0.2754,0.0,0.0
Logistic Regression (Full 165),Phase 2,123,0.5921,0.4826,0.4015,0.2754,0.364,0.4015,0.0,0.4015,0.4015,0.0,0.2754,0.0,0.0
Logistic Regression (Full 165),Phase 2,456,0.5921,0.4826,0.4015,0.2754,0.364,0.4015,0.0,0.4015,0.4015,0.0,0.2754,0.0,0.0
Logistic Regression (Full 165),Phase 2,789,0.5921,0.4826,0.4015,0.2754,0.364,0.4015,0.0,0.4015,0.4015,0.0,0.2754,0.0,0.0
Logistic Regression (Full 165),Phase 2,999,0.5921,0.4826,0.4015,0.2754,0.364,0.4015,0.0,0.4015,0.4015,0.0,0.2754,0.0,0.0
GAT (Full 165),Phase 3,42,0.6498,0.6655,0.3638,0.3303,0.3241,0.3308,0.0538,0.2241,0.3638,0.1397,0.2667,0.0622,0.1807
GAT (Full 165),Phase 3,123,0.6428,0.6469,0.3603,0.2917,0.322,0.3308,0.0538,0.2241,0.3638,0.1397,0.2667,0.0622,0.1807
GAT (Full 165),Phase 3,456,0.6561,0.6524,0.3618,0.2971,0.3236,0.3308,0.0538,0.2241,0.3638,0.1397,0.2667,0.0622,0.1807
GAT (Full 165),Phase 3,789,0.6284,0.6219,0.3443,0.2648,0.3032,0.3308,0.0538,0.2241,0.3638,0.1397,0.2667,0.0622,0.1807
