Model,Feature Space,Weighting,Validation F1,Validation PR-AUC,Test F1,Test PR-AUC,Test Precision,Test Recall,Test MCC,Δ (Weighted - Standard) F1,Δ (Weighted - Standard) PR-AUC,Δ (Weighted - Standard) Precision,Δ (Weighted - Standard) Recall,Δ (Weighted - Standard) MCC
Random Forest,Full Features (165),Standard,0.9489 ± 0.0023,0.9553 ± 0.0008,0.7247 ± 0.0027,0.6599 ± 0.0025,0.9586 ± 0.0198,0.5827 ± 0.0042,0.7367 ± 0.0057,-0.0223,+0.0018,-0.0756,+0.0006,-0.0320
Random Forest,Full Features (165),Weighted,0.9386 ± 0.0023,0.9527 ± 0.0018,0.7024 ± 0.0051,0.6617 ± 0.0021,0.8830 ± 0.0221,0.5833 ± 0.0029,0.7047 ± 0.0080,-0.0223,+0.0018,-0.0756,+0.0006,-0.0320
Random Forest,Local Only (93),Standard,0.9296 ± 0.0011,0.9491 ± 0.0011,0.6936 ± 0.0033,0.6495 ± 0.0003,0.9022 ± 0.0140,0.5635 ± 0.0087,0.7004 ± 0.0024,-0.0213,+0.0004,-0.0034,-0.0264,-0.0186
Random Forest,Local Only (93),Weighted,0.9287 ± 0.0015,0.9494 ± 0.0003,0.6723 ± 0.0035,0.6499 ± 0.0017,0.8988 ± 0.0120,0.5371 ± 0.0084,0.6818 ± 0.0018,-0.0213,+0.0004,-0.0034,-0.0264,-0.0186
XGBoost,Full Features (165),Standard,0.9399 ± 0.0053,0.9595 ± 0.0015,0.7131 ± 0.0111,0.6744 ± 0.0028,0.9127 ± 0.0366,0.5855 ± 0.0062,0.7189 ± 0.0154,+0.0066,-0.0021,+0.0111,+0.0041,+0.0075
XGBoost,Full Features (165),Weighted,0.9416 ± 0.0008,0.9591 ± 0.0017,0.7197 ± 0.0074,0.6723 ± 0.0039,0.9238 ± 0.0250,0.5896 ± 0.0035,0.7264 ± 0.0104,+0.0066,-0.0021,+0.0111,+0.0041,+0.0075
XGBoost,Local Only (93),Standard,0.9185 ± 0.0028,0.9524 ± 0.0019,0.6701 ± 0.0109,0.6554 ± 0.0031,0.8746 ± 0.0322,0.5440 ± 0.0214,0.6758 ± 0.0093,+0.0054,+0.0017,-0.0181,+0.0154,+0.0016
XGBoost,Local Only (93),Weighted,0.9213 ± 0.0024,0.9546 ± 0.0013,0.6756 ± 0.0108,0.6570 ± 0.0040,0.8565 ± 0.0646,0.5594 ± 0.0126,0.6774 ± 0.0202,+0.0054,+0.0017,-0.0181,+0.0154,+0.0016
MLP,Full Features (165),Standard,0.8212 ± 0.0344,0.8446 ± 0.0223,0.5848 ± 0.0194,0.5115 ± 0.0187,0.7630 ± 0.0430,0.4761 ± 0.0335,0.5840 ± 0.0155,-0.0334,-0.0274,-0.0398,-0.0305,-0.0358
MLP,Full Features (165),Weighted,0.8254 ± 0.0135,0.8432 ± 0.0127,0.5513 ± 0.0362,0.4840 ± 0.0425,0.7232 ± 0.0524,0.4456 ± 0.0287,0.5482 ± 0.0397,-0.0334,-0.0274,-0.0398,-0.0305,-0.0358
MLP,Local Only (93),Standard,0.8912 ± 0.0091,0.8914 ± 0.0115,0.5661 ± 0.0184,0.4082 ± 0.0584,0.5816 ± 0.0180,0.5516 ± 0.0221,0.5409 ± 0.0193,-0.0437,-0.0916,-0.0653,-0.0129,-0.0457
MLP,Local Only (93),Weighted,0.8791 ± 0.0176,0.8600 ± 0.0279,0.5224 ± 0.0459,0.3166 ± 0.0542,0.5164 ± 0.1014,0.5387 ± 0.0211,0.4952 ± 0.0518,-0.0437,-0.0916,-0.0653,-0.0129,-0.0457
Logistic Regression,Full Features (165),Standard,0.5921 ± 0.0000,0.4826 ± 0.0000,0.4015 ± 0.0000,0.2754 ± 0.0000,0.3821 ± 0.0000,0.4230 ± 0.0000,0.3640 ± 0.0000,-0.0535,-0.0557,-0.1143,+0.0739,-0.0512
Logistic Regression,Full Features (165),Weighted,0.5527 ± 0.0000,0.4366 ± 0.0000,0.3480 ± 0.0000,0.2197 ± 0.0000,0.2678 ± 0.0000,0.4969 ± 0.0000,0.3128 ± 0.0000,-0.0535,-0.0557,-0.1143,+0.0739,-0.0512
Logistic Regression,Local Only (93),Standard,0.6789 ± 0.0000,0.3935 ± 0.0000,0.4378 ± 0.0000,0.2140 ± 0.0000,0.3564 ± 0.0000,0.5676 ± 0.0000,0.4081 ± 0.0000,-0.0311,-0.0157,-0.0445,+0.0173,-0.0277
Logistic Regression,Local Only (93),Weighted,0.6325 ± 0.0000,0.3540 ± 0.0000,0.4068 ± 0.0000,0.1982 ± 0.0000,0.3118 ± 0.0000,0.5849 ± 0.0000,0.3804 ± 0.0000,-0.0311,-0.0157,-0.0445,+0.0173,-0.0277
