Time Step,Total Samples,Illicit Count,True Positives,False Positives,False Negatives,Precision,Recall,Illicit F1
40,1211,112,70,265,42,0.2090,0.6250,0.3132
41,1132,116,81,239,35,0.2531,0.6983,0.3716
42,2154,239,201,328,38,0.3800,0.8410,0.5234
43,1370,24,7,164,17,0.0409,0.2917,0.0718
44,1591,24,13,706,11,0.0181,0.5417,0.0350
45,1221,5,1,280,4,0.0036,0.2000,0.0070
46,712,2,1,114,1,0.0087,0.5000,0.0171
47,846,22,9,178,13,0.0481,0.4091,0.0861
48,471,36,8,42,28,0.1600,0.2222,0.1860
49,476,56,11,67,45,0.1410,0.1964,0.1642
