Column Index,Canonical Name,Category,Data Type,Sample Value,Included in ML Features,Description
0,txId,Metadata / Primary Key,int64,230425980,False,Unique transaction identifier (Excluded from ML features)
1,time_step,Metadata / Temporal Epoch,int32,1,False,Discrete temporal snapshot index (1 to 49) used for splitting
2,local_feat_0,Local Transaction Feature,float32,-0.171469,True,"Local transaction-level attribute #0 (fees, volume, inputs/outputs)"
3,local_feat_1,Local Transaction Feature,float32,-0.184668,True,"Local transaction-level attribute #1 (fees, volume, inputs/outputs)"
4,local_feat_2,Local Transaction Feature,float32,-1.201369,True,"Local transaction-level attribute #2 (fees, volume, inputs/outputs)"
5,local_feat_3,Local Transaction Feature,float32,-0.121970,True,"Local transaction-level attribute #3 (fees, volume, inputs/outputs)"
6,local_feat_4,Local Transaction Feature,float32,-0.043875,True,"Local transaction-level attribute #4 (fees, volume, inputs/outputs)"
7,local_feat_5,Local Transaction Feature,float32,-0.113002,True,"Local transaction-level attribute #5 (fees, volume, inputs/outputs)"
8,local_feat_6,Local Transaction Feature,float32,-0.061584,True,"Local transaction-level attribute #6 (fees, volume, inputs/outputs)"
9,local_feat_7,Local Transaction Feature,float32,-0.162097,True,"Local transaction-level attribute #7 (fees, volume, inputs/outputs)"
10,local_feat_8,Local Transaction Feature,float32,-0.167933,True,"Local transaction-level attribute #8 (fees, volume, inputs/outputs)"
11,local_feat_9,Local Transaction Feature,float32,-0.049707,True,"Local transaction-level attribute #9 (fees, volume, inputs/outputs)"
12,local_feat_10,Local Transaction Feature,float32,-0.164402,True,"Local transaction-level attribute #10 (fees, volume, inputs/outputs)"
13,local_feat_11,Local Transaction Feature,float32,-0.028741,True,"Local transaction-level attribute #11 (fees, volume, inputs/outputs)"
14,local_feat_12,Local Transaction Feature,float32,-0.035391,True,"Local transaction-level attribute #12 (fees, volume, inputs/outputs)"
15,local_feat_13,Local Transaction Feature,float32,-0.042955,True,"Local transaction-level attribute #13 (fees, volume, inputs/outputs)"
16,local_feat_14,Local Transaction Feature,float32,-0.013282,True,"Local transaction-level attribute #14 (fees, volume, inputs/outputs)"
17,local_feat_15,Local Transaction Feature,float32,-0.057195,True,"Local transaction-level attribute #15 (fees, volume, inputs/outputs)"
18,local_feat_16,Local Transaction Feature,float32,-0.169609,True,"Local transaction-level attribute #16 (fees, volume, inputs/outputs)"
19,local_feat_17,Local Transaction Feature,float32,-0.171154,True,"Local transaction-level attribute #17 (fees, volume, inputs/outputs)"
20,local_feat_18,Local Transaction Feature,float32,-0.174473,True,"Local transaction-level attribute #18 (fees, volume, inputs/outputs)"
21,local_feat_19,Local Transaction Feature,float32,-1.373657,True,"Local transaction-level attribute #19 (fees, volume, inputs/outputs)"
22,local_feat_20,Local Transaction Feature,float32,-1.371460,True,"Local transaction-level attribute #20 (fees, volume, inputs/outputs)"
23,local_feat_21,Local Transaction Feature,float32,-0.139731,True,"Local transaction-level attribute #21 (fees, volume, inputs/outputs)"
24,local_feat_22,Local Transaction Feature,float32,-0.148912,True,"Local transaction-level attribute #22 (fees, volume, inputs/outputs)"
25,local_feat_23,Local Transaction Feature,float32,-0.080147,True,"Local transaction-level attribute #23 (fees, volume, inputs/outputs)"
26,local_feat_24,Local Transaction Feature,float32,-0.155661,True,"Local transaction-level attribute #24 (fees, volume, inputs/outputs)"
27,local_feat_25,Local Transaction Feature,float32,-0.010763,True,"Local transaction-level attribute #25 (fees, volume, inputs/outputs)"
28,local_feat_26,Local Transaction Feature,float32,-0.012107,True,"Local transaction-level attribute #26 (fees, volume, inputs/outputs)"
29,local_feat_27,Local Transaction Feature,float32,-0.139733,True,"Local transaction-level attribute #27 (fees, volume, inputs/outputs)"
30,local_feat_28,Local Transaction Feature,float32,-0.148907,True,"Local transaction-level attribute #28 (fees, volume, inputs/outputs)"
31,local_feat_29,Local Transaction Feature,float32,-0.080147,True,"Local transaction-level attribute #29 (fees, volume, inputs/outputs)"
32,local_feat_30,Local Transaction Feature,float32,-0.155661,True,"Local transaction-level attribute #30 (fees, volume, inputs/outputs)"
33,local_feat_31,Local Transaction Feature,float32,-0.010669,True,"Local transaction-level attribute #31 (fees, volume, inputs/outputs)"
34,local_feat_32,Local Transaction Feature,float32,-0.012005,True,"Local transaction-level attribute #32 (fees, volume, inputs/outputs)"
35,local_feat_33,Local Transaction Feature,float32,-0.024669,True,"Local transaction-level attribute #33 (fees, volume, inputs/outputs)"
36,local_feat_34,Local Transaction Feature,float32,-0.031272,True,"Local transaction-level attribute #34 (fees, volume, inputs/outputs)"
37,local_feat_35,Local Transaction Feature,float32,-0.023045,True,"Local transaction-level attribute #35 (fees, volume, inputs/outputs)"
38,local_feat_36,Local Transaction Feature,float32,-0.026215,True,"Local transaction-level attribute #36 (fees, volume, inputs/outputs)"
39,local_feat_37,Local Transaction Feature,float32,0.001428,True,"Local transaction-level attribute #37 (fees, volume, inputs/outputs)"
40,local_feat_38,Local Transaction Feature,float32,0.001483,True,"Local transaction-level attribute #38 (fees, volume, inputs/outputs)"
41,local_feat_39,Local Transaction Feature,float32,-0.227215,True,"Local transaction-level attribute #39 (fees, volume, inputs/outputs)"
42,local_feat_40,Local Transaction Feature,float32,-0.239368,True,"Local transaction-level attribute #40 (fees, volume, inputs/outputs)"
43,local_feat_41,Local Transaction Feature,float32,-0.075256,True,"Local transaction-level attribute #41 (fees, volume, inputs/outputs)"
44,local_feat_42,Local Transaction Feature,float32,-0.234952,True,"Local transaction-level attribute #42 (fees, volume, inputs/outputs)"
45,local_feat_43,Local Transaction Feature,float32,0.037468,True,"Local transaction-level attribute #43 (fees, volume, inputs/outputs)"
46,local_feat_44,Local Transaction Feature,float32,0.043444,True,"Local transaction-level attribute #44 (fees, volume, inputs/outputs)"
47,local_feat_45,Local Transaction Feature,float32,-0.227203,True,"Local transaction-level attribute #45 (fees, volume, inputs/outputs)"
48,local_feat_46,Local Transaction Feature,float32,-0.243236,True,"Local transaction-level attribute #46 (fees, volume, inputs/outputs)"
49,local_feat_47,Local Transaction Feature,float32,-0.097895,True,"Local transaction-level attribute #47 (fees, volume, inputs/outputs)"
50,local_feat_48,Local Transaction Feature,float32,-0.235896,True,"Local transaction-level attribute #48 (fees, volume, inputs/outputs)"
51,local_feat_49,Local Transaction Feature,float32,0.036577,True,"Local transaction-level attribute #49 (fees, volume, inputs/outputs)"
52,local_feat_50,Local Transaction Feature,float32,0.042345,True,"Local transaction-level attribute #50 (fees, volume, inputs/outputs)"
53,local_feat_51,Local Transaction Feature,float32,-0.414005,True,"Local transaction-level attribute #51 (fees, volume, inputs/outputs)"
54,local_feat_52,Local Transaction Feature,float32,-0.488340,True,"Local transaction-level attribute #52 (fees, volume, inputs/outputs)"
55,local_feat_53,Local Transaction Feature,float32,-0.232553,True,"Local transaction-level attribute #53 (fees, volume, inputs/outputs)"
56,local_feat_54,Local Transaction Feature,float32,-0.467554,True,"Local transaction-level attribute #54 (fees, volume, inputs/outputs)"
57,local_feat_55,Local Transaction Feature,float32,0.048767,True,"Local transaction-level attribute #55 (fees, volume, inputs/outputs)"
58,local_feat_56,Local Transaction Feature,float32,0.052956,True,"Local transaction-level attribute #56 (fees, volume, inputs/outputs)"
59,local_feat_57,Local Transaction Feature,float32,-0.039149,True,"Local transaction-level attribute #57 (fees, volume, inputs/outputs)"
60,local_feat_58,Local Transaction Feature,float32,-0.172895,True,"Local transaction-level attribute #58 (fees, volume, inputs/outputs)"
61,local_feat_59,Local Transaction Feature,float32,-0.163126,True,"Local transaction-level attribute #59 (fees, volume, inputs/outputs)"
62,local_feat_60,Local Transaction Feature,float32,-0.160932,True,"Local transaction-level attribute #60 (fees, volume, inputs/outputs)"
63,local_feat_61,Local Transaction Feature,float32,-1.316342,True,"Local transaction-level attribute #61 (fees, volume, inputs/outputs)"
64,local_feat_62,Local Transaction Feature,float32,-1.315388,True,"Local transaction-level attribute #62 (fees, volume, inputs/outputs)"
65,local_feat_63,Local Transaction Feature,float32,-0.039144,True,"Local transaction-level attribute #63 (fees, volume, inputs/outputs)"
66,local_feat_64,Local Transaction Feature,float32,-0.172884,True,"Local transaction-level attribute #64 (fees, volume, inputs/outputs)"
67,local_feat_65,Local Transaction Feature,float32,-0.163115,True,"Local transaction-level attribute #65 (fees, volume, inputs/outputs)"
68,local_feat_66,Local Transaction Feature,float32,-0.160925,True,"Local transaction-level attribute #66 (fees, volume, inputs/outputs)"
69,local_feat_67,Local Transaction Feature,float32,-1.316333,True,"Local transaction-level attribute #67 (fees, volume, inputs/outputs)"
70,local_feat_68,Local Transaction Feature,float32,-1.315375,True,"Local transaction-level attribute #68 (fees, volume, inputs/outputs)"
71,local_feat_69,Local Transaction Feature,float32,-0.017032,True,"Local transaction-level attribute #69 (fees, volume, inputs/outputs)"
72,local_feat_70,Local Transaction Feature,float32,-0.030026,True,"Local transaction-level attribute #70 (fees, volume, inputs/outputs)"
73,local_feat_71,Local Transaction Feature,float32,-0.017640,True,"Local transaction-level attribute #71 (fees, volume, inputs/outputs)"
74,local_feat_72,Local Transaction Feature,float32,-0.015071,True,"Local transaction-level attribute #72 (fees, volume, inputs/outputs)"
75,local_feat_73,Local Transaction Feature,float32,-0.140763,True,"Local transaction-level attribute #73 (fees, volume, inputs/outputs)"
76,local_feat_74,Local Transaction Feature,float32,-0.140335,True,"Local transaction-level attribute #74 (fees, volume, inputs/outputs)"
77,local_feat_75,Local Transaction Feature,float32,-0.095403,True,"Local transaction-level attribute #75 (fees, volume, inputs/outputs)"
78,local_feat_76,Local Transaction Feature,float32,-0.264376,True,"Local transaction-level attribute #76 (fees, volume, inputs/outputs)"
79,local_feat_77,Local Transaction Feature,float32,-0.250523,True,"Local transaction-level attribute #77 (fees, volume, inputs/outputs)"
80,local_feat_78,Local Transaction Feature,float32,-0.263703,True,"Local transaction-level attribute #78 (fees, volume, inputs/outputs)"
81,local_feat_79,Local Transaction Feature,float32,1.133527,True,"Local transaction-level attribute #79 (fees, volume, inputs/outputs)"
82,local_feat_80,Local Transaction Feature,float32,1.135947,True,"Local transaction-level attribute #80 (fees, volume, inputs/outputs)"
83,local_feat_81,Local Transaction Feature,float32,-0.059013,True,"Local transaction-level attribute #81 (fees, volume, inputs/outputs)"
84,local_feat_82,Local Transaction Feature,float32,-0.262368,True,"Local transaction-level attribute #82 (fees, volume, inputs/outputs)"
85,local_feat_83,Local Transaction Feature,float32,-0.255111,True,"Local transaction-level attribute #83 (fees, volume, inputs/outputs)"
86,local_feat_84,Local Transaction Feature,float32,-0.259194,True,"Local transaction-level attribute #84 (fees, volume, inputs/outputs)"
87,local_feat_85,Local Transaction Feature,float32,1.125590,True,"Local transaction-level attribute #85 (fees, volume, inputs/outputs)"
88,local_feat_86,Local Transaction Feature,float32,1.128038,True,"Local transaction-level attribute #86 (fees, volume, inputs/outputs)"
89,local_feat_87,Local Transaction Feature,float32,-0.293773,True,"Local transaction-level attribute #87 (fees, volume, inputs/outputs)"
90,local_feat_88,Local Transaction Feature,float32,-0.159732,True,"Local transaction-level attribute #88 (fees, volume, inputs/outputs)"
91,local_feat_89,Local Transaction Feature,float32,0.034039,True,"Local transaction-level attribute #89 (fees, volume, inputs/outputs)"
92,local_feat_90,Local Transaction Feature,float32,-0.183816,True,"Local transaction-level attribute #90 (fees, volume, inputs/outputs)"
93,local_feat_91,Local Transaction Feature,float32,1.135523,True,"Local transaction-level attribute #91 (fees, volume, inputs/outputs)"
94,local_feat_92,Local Transaction Feature,float32,1.135279,True,"Local transaction-level attribute #92 (fees, volume, inputs/outputs)"
95,agg_feat_0,Aggregated Neighborhood Feature,float32,-0.169160,True,"1-hop neighborhood aggregated statistic #0 (mean, std, min, max)"
96,agg_feat_1,Aggregated Neighborhood Feature,float32,-0.201584,True,"1-hop neighborhood aggregated statistic #1 (mean, std, min, max)"
97,agg_feat_2,Aggregated Neighborhood Feature,float32,-0.116817,True,"1-hop neighborhood aggregated statistic #2 (mean, std, min, max)"
98,agg_feat_3,Aggregated Neighborhood Feature,float32,-0.191472,True,"1-hop neighborhood aggregated statistic #3 (mean, std, min, max)"
99,agg_feat_4,Aggregated Neighborhood Feature,float32,-0.014659,True,"1-hop neighborhood aggregated statistic #4 (mean, std, min, max)"
100,agg_feat_5,Aggregated Neighborhood Feature,float32,-0.018849,True,"1-hop neighborhood aggregated statistic #5 (mean, std, min, max)"
101,agg_feat_6,Aggregated Neighborhood Feature,float32,-1.457953,True,"1-hop neighborhood aggregated statistic #6 (mean, std, min, max)"
102,agg_feat_7,Aggregated Neighborhood Feature,float32,-1.494057,True,"1-hop neighborhood aggregated statistic #7 (mean, std, min, max)"
103,agg_feat_8,Aggregated Neighborhood Feature,float32,-0.083459,True,"1-hop neighborhood aggregated statistic #8 (mean, std, min, max)"
104,agg_feat_9,Aggregated Neighborhood Feature,float32,-1.485972,True,"1-hop neighborhood aggregated statistic #9 (mean, std, min, max)"
105,agg_feat_10,Aggregated Neighborhood Feature,float32,-0.088798,True,"1-hop neighborhood aggregated statistic #10 (mean, std, min, max)"
106,agg_feat_11,Aggregated Neighborhood Feature,float32,-0.090437,True,"1-hop neighborhood aggregated statistic #11 (mean, std, min, max)"
107,agg_feat_12,Aggregated Neighborhood Feature,float32,-0.166550,True,"1-hop neighborhood aggregated statistic #12 (mean, std, min, max)"
108,agg_feat_13,Aggregated Neighborhood Feature,float32,-0.216536,True,"1-hop neighborhood aggregated statistic #13 (mean, std, min, max)"
109,agg_feat_14,Aggregated Neighborhood Feature,float32,-0.134546,True,"1-hop neighborhood aggregated statistic #14 (mean, std, min, max)"
110,agg_feat_15,Aggregated Neighborhood Feature,float32,-0.194817,True,"1-hop neighborhood aggregated statistic #15 (mean, std, min, max)"
111,agg_feat_16,Aggregated Neighborhood Feature,float32,-0.003175,True,"1-hop neighborhood aggregated statistic #16 (mean, std, min, max)"
112,agg_feat_17,Aggregated Neighborhood Feature,float32,-0.004094,True,"1-hop neighborhood aggregated statistic #17 (mean, std, min, max)"
113,agg_feat_18,Aggregated Neighborhood Feature,float32,-1.096336,True,"1-hop neighborhood aggregated statistic #18 (mean, std, min, max)"
114,agg_feat_19,Aggregated Neighborhood Feature,float32,-1.267340,True,"1-hop neighborhood aggregated statistic #19 (mean, std, min, max)"
115,agg_feat_20,Aggregated Neighborhood Feature,float32,-0.349933,True,"1-hop neighborhood aggregated statistic #20 (mean, std, min, max)"
116,agg_feat_21,Aggregated Neighborhood Feature,float32,-1.230441,True,"1-hop neighborhood aggregated statistic #21 (mean, std, min, max)"
117,agg_feat_22,Aggregated Neighborhood Feature,float32,-0.004358,True,"1-hop neighborhood aggregated statistic #22 (mean, std, min, max)"
118,agg_feat_23,Aggregated Neighborhood Feature,float32,-0.004194,True,"1-hop neighborhood aggregated statistic #23 (mean, std, min, max)"
119,agg_feat_24,Aggregated Neighborhood Feature,float32,-0.116425,True,"1-hop neighborhood aggregated statistic #24 (mean, std, min, max)"
120,agg_feat_25,Aggregated Neighborhood Feature,float32,-0.176617,True,"1-hop neighborhood aggregated statistic #25 (mean, std, min, max)"
121,agg_feat_26,Aggregated Neighborhood Feature,float32,-0.137323,True,"1-hop neighborhood aggregated statistic #26 (mean, std, min, max)"
122,agg_feat_27,Aggregated Neighborhood Feature,float32,-0.152464,True,"1-hop neighborhood aggregated statistic #27 (mean, std, min, max)"
123,agg_feat_28,Aggregated Neighborhood Feature,float32,-0.026060,True,"1-hop neighborhood aggregated statistic #28 (mean, std, min, max)"
124,agg_feat_29,Aggregated Neighborhood Feature,float32,-0.027660,True,"1-hop neighborhood aggregated statistic #29 (mean, std, min, max)"
125,agg_feat_30,Aggregated Neighborhood Feature,float32,-0.093145,True,"1-hop neighborhood aggregated statistic #30 (mean, std, min, max)"
126,agg_feat_31,Aggregated Neighborhood Feature,float32,-0.143707,True,"1-hop neighborhood aggregated statistic #31 (mean, std, min, max)"
127,agg_feat_32,Aggregated Neighborhood Feature,float32,-0.097719,True,"1-hop neighborhood aggregated statistic #32 (mean, std, min, max)"
128,agg_feat_33,Aggregated Neighborhood Feature,float32,-0.127462,True,"1-hop neighborhood aggregated statistic #33 (mean, std, min, max)"
129,agg_feat_34,Aggregated Neighborhood Feature,float32,0.003143,True,"1-hop neighborhood aggregated statistic #34 (mean, std, min, max)"
130,agg_feat_35,Aggregated Neighborhood Feature,float32,0.002426,True,"1-hop neighborhood aggregated statistic #35 (mean, std, min, max)"
131,agg_feat_36,Aggregated Neighborhood Feature,float32,-0.120950,True,"1-hop neighborhood aggregated statistic #36 (mean, std, min, max)"
132,agg_feat_37,Aggregated Neighborhood Feature,float32,-0.199145,True,"1-hop neighborhood aggregated statistic #37 (mean, std, min, max)"
133,agg_feat_38,Aggregated Neighborhood Feature,float32,-0.187993,True,"1-hop neighborhood aggregated statistic #38 (mean, std, min, max)"
134,agg_feat_39,Aggregated Neighborhood Feature,float32,-0.212948,True,"1-hop neighborhood aggregated statistic #39 (mean, std, min, max)"
135,agg_feat_40,Aggregated Neighborhood Feature,float32,1.064205,True,"1-hop neighborhood aggregated statistic #40 (mean, std, min, max)"
136,agg_feat_41,Aggregated Neighborhood Feature,float32,1.063787,True,"1-hop neighborhood aggregated statistic #41 (mean, std, min, max)"
137,agg_feat_42,Aggregated Neighborhood Feature,float32,-1.373782,True,"1-hop neighborhood aggregated statistic #42 (mean, std, min, max)"
138,agg_feat_43,Aggregated Neighborhood Feature,float32,-1.354735,True,"1-hop neighborhood aggregated statistic #43 (mean, std, min, max)"
139,agg_feat_44,Aggregated Neighborhood Feature,float32,-0.297975,True,"1-hop neighborhood aggregated statistic #44 (mean, std, min, max)"
140,agg_feat_45,Aggregated Neighborhood Feature,float32,-1.403698,True,"1-hop neighborhood aggregated statistic #45 (mean, std, min, max)"
141,agg_feat_46,Aggregated Neighborhood Feature,float32,1.342003,True,"1-hop neighborhood aggregated statistic #46 (mean, std, min, max)"
142,agg_feat_47,Aggregated Neighborhood Feature,float32,1.340733,True,"1-hop neighborhood aggregated statistic #47 (mean, std, min, max)"
143,agg_feat_48,Aggregated Neighborhood Feature,float32,-0.171601,True,"1-hop neighborhood aggregated statistic #48 (mean, std, min, max)"
144,agg_feat_49,Aggregated Neighborhood Feature,float32,-0.458162,True,"1-hop neighborhood aggregated statistic #49 (mean, std, min, max)"
145,agg_feat_50,Aggregated Neighborhood Feature,float32,-0.423588,True,"1-hop neighborhood aggregated statistic #50 (mean, std, min, max)"
146,agg_feat_51,Aggregated Neighborhood Feature,float32,-0.440883,True,"1-hop neighborhood aggregated statistic #51 (mean, std, min, max)"
147,agg_feat_52,Aggregated Neighborhood Feature,float32,-1.015963,True,"1-hop neighborhood aggregated statistic #52 (mean, std, min, max)"
148,agg_feat_53,Aggregated Neighborhood Feature,float32,-1.016230,True,"1-hop neighborhood aggregated statistic #53 (mean, std, min, max)"
149,agg_feat_54,Aggregated Neighborhood Feature,float32,-0.968903,True,"1-hop neighborhood aggregated statistic #54 (mean, std, min, max)"
150,agg_feat_55,Aggregated Neighborhood Feature,float32,-0.375715,True,"1-hop neighborhood aggregated statistic #55 (mean, std, min, max)"
151,agg_feat_56,Aggregated Neighborhood Feature,float32,0.759748,True,"1-hop neighborhood aggregated statistic #56 (mean, std, min, max)"
152,agg_feat_57,Aggregated Neighborhood Feature,float32,-0.768329,True,"1-hop neighborhood aggregated statistic #57 (mean, std, min, max)"
153,agg_feat_58,Aggregated Neighborhood Feature,float32,1.488113,True,"1-hop neighborhood aggregated statistic #58 (mean, std, min, max)"
154,agg_feat_59,Aggregated Neighborhood Feature,float32,1.487932,True,"1-hop neighborhood aggregated statistic #59 (mean, std, min, max)"
155,agg_feat_60,Aggregated Neighborhood Feature,float32,-0.216814,True,"1-hop neighborhood aggregated statistic #60 (mean, std, min, max)"
156,agg_feat_61,Aggregated Neighborhood Feature,float32,-0.605631,True,"1-hop neighborhood aggregated statistic #61 (mean, std, min, max)"
157,agg_feat_62,Aggregated Neighborhood Feature,float32,-0.562153,True,"1-hop neighborhood aggregated statistic #62 (mean, std, min, max)"
158,agg_feat_63,Aggregated Neighborhood Feature,float32,-0.600999,True,"1-hop neighborhood aggregated statistic #63 (mean, std, min, max)"
159,agg_feat_64,Aggregated Neighborhood Feature,float32,1.461330,True,"1-hop neighborhood aggregated statistic #64 (mean, std, min, max)"
160,agg_feat_65,Aggregated Neighborhood Feature,float32,1.461369,True,"1-hop neighborhood aggregated statistic #65 (mean, std, min, max)"
161,agg_feat_66,Aggregated Neighborhood Feature,float32,0.018279,True,"1-hop neighborhood aggregated statistic #66 (mean, std, min, max)"
162,agg_feat_67,Aggregated Neighborhood Feature,float32,-0.087490,True,"1-hop neighborhood aggregated statistic #67 (mean, std, min, max)"
163,agg_feat_68,Aggregated Neighborhood Feature,float32,-0.131155,True,"1-hop neighborhood aggregated statistic #68 (mean, std, min, max)"
164,agg_feat_69,Aggregated Neighborhood Feature,float32,-0.097524,True,"1-hop neighborhood aggregated statistic #69 (mean, std, min, max)"
165,agg_feat_70,Aggregated Neighborhood Feature,float32,-0.120613,True,"1-hop neighborhood aggregated statistic #70 (mean, std, min, max)"
166,agg_feat_71,Aggregated Neighborhood Feature,float32,-0.119792,True,"1-hop neighborhood aggregated statistic #71 (mean, std, min, max)"
