run_id,model,feature_mode,feature_space,num_features,direction,unknown_treatment,seed,best_epoch,epochs_trained,optimal_threshold,training_time_sec,inference_time_sec,val_illicit_f1,val_pr_auc,val_illicit_precision,val_illicit_recall,val_roc_auc,val_loss,test_illicit_f1,test_pr_auc,test_illicit_precision,test_illicit_recall,test_macro_f1,test_roc_auc,test_mcc,test_accuracy,test_tp,test_fp,test_tn,test_fn,num_params,peak_ram_mb,device_used,pos_weight,test_confusion_matrix,test_pr_curve,test_roc_curve
1,GCN,local,Local Only (93),93,forward,retained,42,3,23,0.49,201.60591411590576,0.5948460102081299,0.3833634719710669,0.3049525868958208,0.3216995447647951,0.4742729306487696,0.8290253250596133,0.954624354839325,0.2071035517758879,0.1137144146953142,0.1518708730741012,0.3254716981132075,0.5646446130424435,0.7187009579448724,0.1528252584765406,0.8582796852646638,207,1156,9392,429,,,,,,,
2,GCN,local,Local Only (93),93,forward,retained,123,58,78,0.83,598.7790219783783,2.459320306777954,0.5127681307456589,0.4711850747206381,0.4718045112781955,0.5615212527964206,0.8623284244192836,0.9918231964111328,0.296028880866426,0.2849301289010523,0.239766081871345,0.3867924528301887,0.6197617600507151,0.7855304472158422,0.2509948171009681,0.8953862660944206,246,780,9768,390,,,,,,,
3,GCN,local,Local Only (93),93,forward,retained,456,6,26,0.5,181.89286875724792,0.6859943866729736,0.3828061638280616,0.413682818615639,0.3002544529262086,0.5279642058165548,0.8486865092102629,1.133737087249756,0.262200956937799,0.1959062764425627,0.1884456671251719,0.4308176100628931,0.5930789773346654,0.7516780879501435,0.2196316689384415,0.8621244635193133,274,1180,9368,362,,,,,,,
4,GCN,local,Local Only (93),93,forward,retained,789,66,86,0.85,690.8536360263824,0.5405869483947754,0.532043530834341,0.4924893479105932,0.5789473684210527,0.4921700223713646,0.8821687481936199,1.4728033542633057,0.3410620792819746,0.3261647972673157,0.3252496433666191,0.3584905660377358,0.6495857683747612,0.7794827717794426,0.2996775838505107,0.9212267525035766,228,473,10075,408,,,,,,,
5,GCN,local,Local Only (93),93,forward,retained,999,6,26,0.5,94.58244347572328,0.5737094879150391,0.3268032056990205,0.2802956118186281,0.2040022234574763,0.8210290827740492,0.8346943061125459,1.206526279449463,0.1728550451017411,0.1451964705179378,0.0997337206487533,0.6477987421383647,0.4744168413395757,0.7121806005728828,0.1416592488639358,0.6474427753934192,412,3719,6829,224,,,,,,,
6,GraphSAGE,local,Local Only (93),93,forward,retained,42,100,100,0.88,427.89811968803406,1.8831970691680908,0.8456221198156681,0.7966641339154568,0.8717339667458432,0.8210290827740492,0.9684811934472634,0.3849840462207794,0.6252285191956124,0.5703759884319113,0.7467248908296943,0.5377358490566038,0.8029780839843814,0.8281083420982964,0.6155410892113367,0.963340486409156,342,116,10432,294,,,,,,,
7,GraphSAGE,local,Local Only (93),93,forward,retained,123,8,28,0.52,171.57073616981506,0.5326652526855469,0.4664391353811149,0.4048343519953595,0.474537037037037,0.4586129753914988,0.8566290318069394,1.0968226194381714,0.2913279132791327,0.1820081265006736,0.2559523809523809,0.3380503144654088,0.6206304509914714,0.7775225056823195,0.2449731014742889,0.9064735336194564,215,625,9923,421,,,,,,,
8,GraphSAGE,local,Local Only (93),93,forward,retained,456,6,26,0.5,174.6562476158142,2.014983892440796,0.4399038461538461,0.48020158818332,0.3007395234182415,0.8187919463087249,0.8842640380424189,1.2480220794677734,0.2775393419170243,0.3252873314888997,0.1796296296296296,0.610062893081761,0.5871653382382996,0.7994964767233587,0.2593446073207246,0.8193848354792561,388,1772,8776,248,,,,,,,
9,GraphSAGE,local,Local Only (93),93,forward,retained,789,99,100,0.89,523.9824731349945,0.794489860534668,0.8619447779111644,0.8585416272870691,0.9300518134715026,0.8031319910514542,0.9669677189066224,0.3968093395233154,0.6239234449760765,0.5501473449862986,0.7970660146699267,0.5125786163522013,0.8027463212780772,0.8194578602042057,0.6227089173073913,0.9648605150214592,326,83,10465,310,,,,,,,
10,GraphSAGE,local,Local Only (93),93,forward,retained,999,6,26,0.51,120.77733492851256,0.6975765228271484,0.4159613059250302,0.4059304135317292,0.4526315789473684,0.3847874720357941,0.8638643191606589,1.4099177122116089,0.2583392476933995,0.2016972705692195,0.2354463130659767,0.2861635220125786,0.6042399993417138,0.7770974496938821,0.2101156139671251,0.906562947067239,182,591,9957,454,,,,,,,
