model,feature_space,seed,best_epoch,epochs_trained,optimal_threshold,val_illicit_f1,val_pr_auc,test_illicit_f1,test_pr_auc,test_illicit_precision,test_illicit_recall,test_mcc,training_time_sec
GAT,Full Features (165),42,100,100,0.92,0.6498277841561424,0.6655036655620973,0.3637532133676092,0.3302924213629284,0.3076086956521739,0.4449685534591195,0.3241498106506763,1084.2865762710571
GAT,Full Features (165),123,96,100,0.91,0.6427795874049945,0.6468567495153275,0.3603164942178941,0.2916784633709753,0.2939424031777557,0.4654088050314465,0.3220141621368172,706.8011982440948
GAT,Full Features (165),456,100,100,0.92,0.6561085972850679,0.6524306048239751,0.3617539585870889,0.2971218312335458,0.2952286282306163,0.4669811320754717,0.3235845195170543,781.4228479862213
GAT,Full Features (165),789,98,100,0.9,0.6284403669724771,0.6218971264262164,0.3442622950819672,0.2648281981157836,0.2873684210526316,0.4292452830188679,0.3032468738659125,766.2560474872589
GAT,Full Features (165),999,8,24,0.65,0.4258474576271186,0.3826868266959625,0.2240846934274371,0.1495430008419908,0.1557326793378295,0.3993710691823899,0.1763950500573234,181.94264483451843
GAT,Local Only (93),42,12,28,0.6,0.365698086463501,0.2625418180264672,0.252356780275562,0.1668085080753477,0.1639962299717247,0.5471698113207547,0.2238475655312968,214.2988169193268
GAT,Local Only (93),123,8,24,0.57,0.3743700503959683,0.2402985904389381,0.2298307752853207,0.1299717048086504,0.1532808398950131,0.4591194968553459,0.1886340265697877,176.23515486717224
GAT,Local Only (93),456,18,34,0.69,0.3615916955017301,0.2145662479276859,0.1681503461918892,0.1149433749407991,0.1226551226551226,0.2672955974842767,0.1068425494987222,234.2513735294342
GAT,Local Only (93),789,88,100,0.86,0.4580152671755725,0.4502069580461096,0.3254938852304798,0.2940038959336644,0.405152224824356,0.2720125786163522,0.2996311789010821,8367.438831806183
GAT,Local Only (93),999,20,36,0.67,0.3387573964497041,0.2029732971088662,0.2074244163796402,0.1207877290652116,0.1370763783510369,0.4261006289308176,0.1604919334899795,410.9263379573822
GCN,Full Features (165),42,100,100,0.75,0.4668227946916471,0.4428124902474162,0.337696335078534,0.2672713671327674,0.289237668161435,0.4056603773584906,0.2953911458156603,695.2687313556671
GCN,Full Features (165),123,84,100,0.88,0.519280205655527,0.5396723506153727,0.2936507936507936,0.2475895635145405,0.3978494623655914,0.2327044025157232,0.2731077939557487,689.4149312973022
GCN,Full Features (165),456,84,100,0.86,0.4849187935034802,0.4880211016261973,0.2705515088449531,0.263848611443936,0.4,0.2044025157232704,0.2563261125204829,692.0058827400208
GCN,Full Features (165),789,4,20,0.51,0.2892498066511987,0.1827095287449476,0.1749201277955271,0.0981156936444777,0.117237687366167,0.3443396226415094,0.1167303254360665,144.74141836166382
GCN,Full Features (165),999,10,26,0.5,0.3860589812332439,0.3747240414077814,0.2175957018132975,0.2242043070668986,0.1899179366940211,0.2547169811320754,0.1650839931513806,180.4053816795349
GCN,Local Only (93),42,3,23,0.49,0.3833634719710669,0.3049525868958208,0.2071035517758879,0.1137144146953142,0.1518708730741012,0.3254716981132075,0.1528252584765406,201.60591411590576
GCN,Local Only (93),123,58,78,0.83,0.5127681307456589,0.4711850747206381,0.296028880866426,0.2849301289010523,0.239766081871345,0.3867924528301887,0.2509948171009681,598.7790219783783
GCN,Local Only (93),456,6,26,0.5,0.3828061638280616,0.413682818615639,0.262200956937799,0.1959062764425627,0.1884456671251719,0.4308176100628931,0.2196316689384415,181.89286875724792
GCN,Local Only (93),789,66,86,0.85,0.532043530834341,0.4924893479105932,0.3410620792819746,0.3261647972673157,0.3252496433666191,0.3584905660377358,0.2996775838505107,690.8536360263824
GCN,Local Only (93),999,6,26,0.5,0.3268032056990205,0.2802956118186281,0.1728550451017411,0.1451964705179378,0.0997337206487533,0.6477987421383647,0.1416592488639358,94.58244347572328
GraphSAGE,Full Features (165),42,4,20,0.52,0.3378238341968912,0.2798585894789403,0.1873972602739726,0.1352467961912264,0.1438183347350715,0.2688679245283019,0.1294969551079014,159.35486817359924
GraphSAGE,Full Features (165),123,4,20,0.49,0.3616042077580539,0.3708642525715152,0.2094426695065672,0.1538808760238643,0.135259055479138,0.4638364779874214,0.1666057788980088,167.09992790222168
GraphSAGE,Full Features (165),456,62,78,0.87,0.6289592760180995,0.6441589995811257,0.4222020018198362,0.3863521139185263,0.5010799136069114,0.3647798742138364,0.3986094709778499,5130.690278291702
GraphSAGE,Full Features (165),789,46,62,0.88,0.6100917431192661,0.5299618662336649,0.4143692564745196,0.3893652556686761,0.4420677361853832,0.389937106918239,0.382233319084261,596.4747605323792
GraphSAGE,Full Features (165),999,2,18,0.51,0.2977941176470588,0.2280952120526517,0.1776765375854214,0.1183569916323595,0.1250801796023091,0.3066037735849056,0.1185427021782158,178.4421968460083
GraphSAGE,Local Only (93),42,100,100,0.88,0.8456221198156681,0.7966641339154568,0.6252285191956124,0.5703759884319113,0.7467248908296943,0.5377358490566038,0.6155410892113367,427.89811968803406
GraphSAGE,Local Only (93),123,8,28,0.52,0.4664391353811149,0.4048343519953595,0.2913279132791327,0.1820081265006736,0.2559523809523809,0.3380503144654088,0.2449731014742889,171.57073616981506
GraphSAGE,Local Only (93),456,6,26,0.5,0.4399038461538461,0.48020158818332,0.2775393419170243,0.3252873314888997,0.1796296296296296,0.610062893081761,0.2593446073207246,174.6562476158142
GraphSAGE,Local Only (93),789,99,100,0.89,0.8619447779111644,0.8585416272870691,0.6239234449760765,0.5501473449862986,0.7970660146699267,0.5125786163522013,0.6227089173073913,523.9824731349945
