phase,model_family,model_name,weighting_mode,feature_mode,feature_space,num_features,val_f1_mean,val_f1_std,val_pr_auc_mean,val_pr_auc_std,test_f1_mean,test_f1_std,test_pr_auc_mean,test_pr_auc_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,test_mcc_mean,test_mcc_std,comparability_status
Phase 2,Tree Ensemble,Random Forest,Standard,full,Full Features (165),165,0.9489,0.0023,0.9553,0.0008,0.7247,0.0027,0.6599,0.0025,0.9586,0.0198,0.5827,0.0042,0.7367,0.0057,Directly Comparable (Full Feature Benchmark)
Phase 2,Tree Ensemble,Random Forest,Weighted,full,Full Features (165),165,0.9386,0.0023,0.9527,0.0018,0.7024,0.0051,0.6617,0.0021,0.8830,0.0221,0.5833,0.0029,0.7047,0.0080,Directly Comparable (Full Feature Cost-Sensitive)
Phase 2,Gradient Boosting,XGBoost,Standard,full,Full Features (165),165,0.9399,0.0053,0.9595,0.0015,0.7131,0.0111,0.6744,0.0028,0.9127,0.0366,0.5855,0.0062,0.7189,0.0154,Directly Comparable (Full Feature Benchmark)
Phase 2,Gradient Boosting,XGBoost,Weighted,full,Full Features (165),165,0.9416,0.0008,0.9591,0.0017,0.7197,0.0074,0.6723,0.0039,0.9238,0.0250,0.5896,0.0035,0.7264,0.0104,Directly Comparable (Full Feature Cost-Sensitive)
Phase 2,Neural Network,MLP,Standard,full,Full Features (165),165,0.8212,0.0344,0.8446,0.0223,0.5848,0.0194,0.5115,0.0187,0.7630,0.0430,0.4761,0.0335,0.5840,0.0155,Directly Comparable (Full Feature Benchmark)
Phase 2,Neural Network,MLP,Weighted,full,Full Features (165),165,0.8254,0.0135,0.8432,0.0127,0.5513,0.0362,0.4840,0.0425,0.7232,0.0524,0.4456,0.0287,0.5482,0.0397,Directly Comparable (Full Feature Cost-Sensitive)
Phase 2,Linear Model,Logistic Regression,Standard,full,Full Features (165),165,0.5921,0.0000,0.4826,0.0000,0.4015,0.0000,0.2754,0.0000,0.3821,0.0000,0.4230,0.0000,0.3640,0.0000,Directly Comparable (Full Feature Benchmark)
Phase 2,Linear Model,Logistic Regression,Weighted,full,Full Features (165),165,0.5527,0.0000,0.4366,0.0000,0.3480,0.0000,0.2197,0.0000,0.2678,0.0000,0.4969,0.0000,0.3128,0.0000,Directly Comparable (Full Feature Cost-Sensitive)
Phase 3,Graph Neural Net,GAT,Weighted (pos_weight),full,Full Features (165),165,0.6006,0.0982,0.5939,0.1191,0.3308,0.0602,0.2667,0.0695,0.2680,0.0632,0.4412,0.0281,0.2899,0.0640,Directly Comparable (Primary Forward GNN)
Phase 3,Graph Neural Net,GraphSAGE,Weighted (pos_weight),full,Full Features (165),165,0.4473,0.1590,0.4106,0.1738,0.2822,0.1248,0.2366,0.1386,0.2695,0.1858,0.3588,0.0756,0.2391,0.1394,Directly Comparable (Primary Forward GNN)
