time_step,num_illicit,num_licit,num_unknown,total_txs,total_labeled,pct_illicit_labeled,pct_labeled_total,imbalance_ratio
1,17,2130,5733,7880,2147,0.7918025151374011,27.246192893401016,125.29411764705883
2,18,1099,3427,4544,1117,1.611459265890779,24.5818661971831,61.05555555555556
3,11,1268,5342,6621,1279,0.8600469116497262,19.31732366711977,115.27272727272727
4,30,1410,4253,5693,1440,2.083333333333333,25.294220973124894,47.0
5,8,1874,4921,6803,1882,0.4250797024442083,27.66426576510363,234.25
6,5,480,3843,4328,485,1.0309278350515463,11.206099815157117,96.0
7,102,1101,4845,6048,1203,8.478802992518704,19.890873015873016,10.794117647058824
8,67,1098,3292,4457,1165,5.75107296137339,26.13865829032982,16.388059701492537
9,248,530,4218,4996,778,31.876606683804624,15.572457966373099,2.1370967741935485
10,18,954,5755,6727,972,1.8518518518518516,14.449234428422775,53.0
11,131,565,3600,4296,696,18.82183908045977,16.201117318435752,4.312977099236641
12,16,490,1541,2047,506,3.1620553359683794,24.719101123595504,30.625
13,291,518,3719,4528,809,35.97033374536465,17.86660777385159,1.7800687285223367
14,43,374,1605,2022,417,10.311750599520384,20.623145400593472,8.69767441860465
15,147,471,3021,3639,618,23.78640776699029,16.982687551525146,3.204081632653061
16,128,402,2445,2975,530,24.150943396226417,17.81512605042017,3.140625
17,99,712,2574,3385,811,12.20715166461159,23.95864106351551,7.191919191919192
18,52,337,1587,1976,389,13.367609254498714,19.686234817813766,6.480769230769231
19,80,665,2761,3506,745,10.738255033557047,21.249286936679976,8.3125
20,260,640,3391,4291,900,28.888888888888886,20.974131903985086,2.4615384615384617
21,100,541,2896,3537,641,15.600624024960998,18.122702855527283,5.41
22,158,1605,4131,5894,1763,8.961996596710154,29.91177468612148,10.158227848101266
23,53,1134,2978,4165,1187,4.465037910699242,28.49939975990396,21.39622641509434
24,137,989,3466,4592,1126,12.16696269982238,24.520905923344948,7.218978102189781
25,118,476,1720,2314,594,19.865319865319865,25.66983578219533,4.033898305084746
26,96,421,2006,2523,517,18.568665377176018,20.49147839873167,4.385416666666667
27,24,182,883,1089,206,11.650485436893204,18.91643709825528,7.583333333333333
28,85,199,1369,1653,284,29.929577464788732,17.180883242589232,2.3411764705882354
29,329,845,3101,4275,1174,28.023850085178875,27.461988304093566,2.56838905775076
30,83,441,1959,2483,524,15.839694656488549,21.103503826016915,5.313253012048193
31,106,604,2106,2816,710,14.929577464788732,25.213068181818183,5.69811320754717
32,342,981,3202,4525,1323,25.850340136054424,29.23756906077348,2.8684210526315788
33,23,418,2710,3151,441,5.215419501133787,13.995556966042527,18.17391304347826
34,37,478,1971,2486,515,7.184466019417475,20.716009654062752,12.91891891891892
35,182,1159,4166,5507,1341,13.571961222967936,24.35082622117305,6.368131868131868
36,33,1675,4685,6393,1708,1.9320843091334896,26.716721414046614,50.75757575757576
37,40,458,2808,3306,498,8.032128514056225,15.063520871143377,11.45
38,111,645,2135,2891,756,14.682539682539684,26.150121065375302,5.8108108108108105
39,81,1102,1577,2760,1183,6.846999154691462,42.86231884057971,13.604938271604938
40,112,1099,3270,4481,1211,9.248554913294797,27.025217585360412,9.8125
41,116,1016,4210,5342,1132,10.247349823321555,21.19056533133658,8.758620689655173
42,239,1915,4986,7140,2154,11.095636025998143,30.168067226890756,8.01255230125523
43,24,1346,3693,5063,1370,1.7518248175182483,27.059055895714003,56.083333333333336
44,24,1567,3384,4975,1591,1.508485229415462,31.979899497487434,65.29166666666667
45,5,1216,4377,5598,1221,0.4095004095004095,21.811361200428724,243.2
46,2,710,2807,3519,712,0.2808988764044944,20.233020744529696,355.0
47,22,824,4275,5121,846,2.6004728132387704,16.520210896309315,37.45454545454545
48,36,435,2483,2954,471,7.643312101910828,15.944482058226134,12.083333333333334
49,56,420,1978,2454,476,11.76470588235294,19.396903015484924,7.5
