time_step,num_nodes,num_edges,edge_to_node_ratio,graph_density
1,7880,9164,1.1629441624365482,0.00014760047752716693
2,4544,5241,1.1533890845070423,0.0002538826952469827
3,6621,8316,1.256003624830086,0.00018972864423415198
4,5693,8180,1.4368522747233445,0.00025243363926973723
5,6803,8623,1.2675290313097163,0.00018634652033368366
6,4328,5242,1.2111829944547134,0.00027991287137848705
7,6048,7253,1.199239417989418,0.0001983197317660688
8,4457,5186,1.1635629347094458,0.0002611227411825507
9,4996,5939,1.1887510008006406,0.00023798818834847658
10,6727,8588,1.2766463505277241,0.00018980766436629855
11,4296,4656,1.0837988826815643,0.00025233967000734905
12,2047,2213,1.081094284318515,0.0005283940783570454
13,4528,4827,1.0660335689045937,0.00023548344795771894
14,2022,2078,1.0276953511374876,0.0005085083380195386
15,3639,3823,1.0505633415773563,0.0002887749701971843
16,2975,3120,1.0487394957983194,0.0003526360106921047
17,3385,3650,1.0782865583456425,0.00031864259998393694
18,1976,2115,1.0703441295546559,0.0005419463947112182
19,3506,3838,1.0946948088990303,0.0003123237685874551
20,4291,4755,1.1081333022605453,0.0002583061310630642
21,3537,3959,1.119310149844501,0.000316546988078196
22,5894,7014,1.190023752969121,0.00020193852926677773
23,4165,4584,1.1006002400960384,0.00026431321808262207
24,4592,5124,1.1158536585365855,0.00024305241963332289
25,2314,2619,1.1318063958513396,0.0004893239930183051
26,2523,2690,1.0661910424098295,0.0004227561627318912
27,1089,1168,1.0725436179981636,0.0009857937665424296
28,1653,1717,1.0387174833635813,0.0006287636097842502
29,4275,4541,1.0622222222222222,0.00024853117038423544
30,2483,2561,1.031413612565445,0.000415557458729027
31,2816,3049,1.0827414772727273,0.0003846328516066527
32,4525,4952,1.094364640883978,0.00024190199842705082
33,3151,3366,1.0682323072040623,0.00033912136736636894
34,2486,2692,1.082864038616251,0.0004357601765055336
35,5507,6351,1.1532594879244598,0.0002094550468442535
36,6393,7813,1.222117941498514,0.0001911949220116574
37,3306,3849,1.1642468239564427,0.00035226832797471795
38,2891,3094,1.0702179176755449,0.0003703176185728529
39,2760,2914,1.0557971014492753,0.00038267383162351407
40,4481,5246,1.1707208212452578,0.00026132161188510217
41,5342,6093,1.1405840509172596,0.0002135525277882905
42,7140,8493,1.1894957983193277,0.00016661938623327186
43,5063,5950,1.1751925735729805,0.0002321597340128369
44,4975,5551,1.115778894472362,0.0002243222546184885
45,5598,6673,1.1920328688817434,0.0002129771071791573
46,3519,3866,1.0986075589656152,0.0003122818530317269
47,5121,5748,1.1224370240187462,0.0002192259812536614
48,2954,3284,1.1117129316181449,0.0003764689914047223
49,2454,2587,1.054197229013855,0.00042975834855844066
